52.2,-12.6,-66.60001
52.2,-12.6,-66.60001
52.2,-12.6,-66.60001
52.2,-12.6,-66.60001
52.2,-12.6,-66.60001
51,-7.8,-64.8
51,-7.8,-64.8
51,-7.8,-64.8
51,-7.8,-64.8
51,-7.8,-64.8
51.6,-11.4,-66
51.6,-11.4,-66
51.6,-11.4,-66
51.6,-11.4,-66
51.6,-11.4,-66
51,-8.400001,-64.2
51,-8.400001,-64.2
51,-8.400001,-64.2
51,-8.400001,-64.2
51,-8.400001,-64.2
49.8,-11.4,-67.2
49.8,-11.4,-67.2
49.8,-11.4,-67.2
49.8,-11.4,-67.2
49.8,-11.4,-67.2
50.4,-9,-65.4
50.4,-9,-65.4
50.4,-9,-65.4
50.4,-9,-65.4
50.4,-9,-65.4
50.4,-12,-66.60001
50.4,-12,-66.60001
50.4,-12,-66.60001
50.4,-12,-66.60001
50.4,-12,-66.60001
51,-7.8,-66
51,-7.8,-66
51,-7.8,-66
51,-7.8,-66
51,-7.8,-66
50.4,-11.4,-67.8
50.4,-11.4,-67.8
50.4,-11.4,-67.8
50.4,-11.4,-67.8
50.4,-11.4,-67.8
50.4,-7.2,-64.8
50.4,-7.2,-64.8
50.4,-7.2,-64.8
50.4,-7.2,-64.8
50.4,-7.2,-64.8
51.6,-10.8,-64.8
51.6,-10.8,-64.8
51.6,-10.8,-64.8
51.6,-10.8,-64.8
51.6,-10.8,-64.8
50.4,-7.2,-63.6
50.4,-7.2,-63.6
50.4,-7.2,-63.6
50.4,-7.2,-63.6
50.4,-7.2,-63.6
51,-10.2,-65.4
51,-10.2,-65.4
51,-10.2,-65.4
51,-10.2,-65.4
51,-10.2,-65.4
51,-8.400001,-62.4
51,-8.400001,-62.4
51,-8.400001,-62.4
51,-8.400001,-62.4
51,-8.400001,-62.4
51.6,-11.4,-64.8
51.6,-11.4,-64.8
51.6,-11.4,-64.8
51.6,-11.4,-64.8
51.6,-11.4,-64.8
52.2,-8.400001,-63.6
52.2,-8.400001,-63.6
52.2,-8.400001,-63.6
52.2,-8.400001,-63.6
52.2,-8.400001,-63.6
51.6,-11.4,-64.2
51.6,-11.4,-64.2
51.6,-11.4,-64.2
51.6,-11.4,-64.2
51.6,-11.4,-64.2
48.6,-8.400001,-61.8
48.6,-8.400001,-61.8
48.6,-8.400001,-61.8
48.6,-8.400001,-61.8
48.6,-8.400001,-61.8
49.2,-11.4,-65.4
49.2,-11.4,-65.4
49.2,-11.4,-65.4
49.2,-11.4,-65.4
49.2,-11.4,-65.4
51.6,-8.400001,-61.2
51.6,-8.400001,-61.2
51.6,-8.400001,-61.2
51.6,-8.400001,-61.2
51.6,-8.400001,-61.2
51.6,-12,-64.2
51.6,-12,-64.2
51.6,-12,-64.2
51.6,-12,-64.2
51.6,-12,-64.2
51,-7.8,-63
51,-7.8,-63
51,-7.8,-63
51,-7.8,-63
51,-7.8,-63
50.4,-12.6,-63.6
50.4,-12.6,-63.6
50.4,-12.6,-63.6
50.4,-12.6,-63.6
50.4,-12.6,-63.6
51.6,-8.400001,-62.4
51.6,-8.400001,-62.4
51.6,-8.400001,-62.4
51.6,-8.400001,-62.4
51.6,-8.400001,-62.4
50.4,-11.4,-64.2
50.4,-11.4,-64.2
50.4,-11.4,-64.2
50.4,-11.4,-64.2
50.4,-11.4,-64.2
52.8,-7.8,-61.8
52.8,-7.8,-61.8
52.8,-7.8,-61.8
52.8,-7.8,-61.8
52.8,-7.8,-61.8
52.2,-10.8,-64.8
52.2,-10.8,-64.8
52.2,-10.8,-64.8
52.2,-10.8,-64.8
52.2,-10.8,-64.8
51.6,-7.2,-61.2
51.6,-7.2,-61.2
51.6,-7.2,-61.2
51.6,-7.2,-61.2
51.6,-7.2,-61.2
52.2,-11.4,-63
52.2,-11.4,-63
52.2,-11.4,-63
52.2,-11.4,-63
52.2,-11.4,-63
51,-7.8,-63
51,-7.8,-63
51,-7.8,-63
51,-7.8,-63
51,-7.8,-63
49.8,-11.4,-65.4
49.8,-11.4,-65.4
49.8,-11.4,-65.4
49.8,-11.4,-65.4
49.8,-11.4,-65.4
52.2,-8.400001,-63
52.2,-8.400001,-63
52.2,-8.400001,-63
52.2,-8.400001,-63
52.2,-8.400001,-63
51.6,-11.4,-63.6
51.6,-11.4,-63.6
51.6,-11.4,-63.6
51.6,-11.4,-63.6
51.6,-11.4,-63.6
51,-8.400001,-62.4
51,-8.400001,-62.4
51,-8.400001,-62.4
51,-8.400001,-62.4
51,-8.400001,-62.4
51.6,-11.4,-64.2
51.6,-11.4,-64.2
51.6,-11.4,-64.2
51.6,-11.4,-64.2
51.6,-11.4,-64.2
51.6,-8.400001,-61.8
51.6,-8.400001,-61.8
51.6,-8.400001,-61.8
51.6,-8.400001,-61.8
51.6,-8.400001,-61.8
51,-12,-64.8
51,-12,-64.8
51,-12,-64.8
51,-12,-64.8
51,-12,-64.8
51.6,-7.8,-61.8
51.6,-7.8,-61.8
51.6,-7.8,-61.8
51.6,-7.8,-61.8
51.6,-7.8,-61.8
50.4,-11.4,-64.2
50.4,-11.4,-64.2
50.4,-11.4,-64.2
50.4,-11.4,-64.2
50.4,-11.4,-64.2
49.2,-8.400001,-59.4
49.2,-8.400001,-59.4
49.2,-8.400001,-59.4
49.2,-8.400001,-59.4
49.2,-8.400001,-59.4
48.6,-12.6,-59.4
48.6,-12.6,-59.4
48.6,-12.6,-59.4
48.6,-12.6,-59.4
48.6,-12.6,-59.4
48,-9.6,-51.6
48,-9.6,-51.6
48,-9.6,-51.6
48,-9.6,-51.6
48,-9.6,-51.6
45.6,-16.2,-47.4
45.6,-16.2,-47.4
45.6,-16.2,-47.4
45.6,-16.2,-47.4
45.6,-16.2,-47.4
39,-14.4,-40.8
39,-14.4,-40.8
39,-14.4,-40.8
39,-14.4,-40.8
39,-14.4,-40.8
33,-18.6,-37.8
33,-18.6,-37.8
33,-18.6,-37.8
33,-18.6,-37.8
33,-18.6,-37.8
22.2,-14.4,-34.8
22.2,-14.4,-34.8
22.2,-14.4,-34.8
22.2,-14.4,-34.8
