Trial07
Date:,2017/07/11
Time:,17:06:10
Type:,
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,A,,,B,,,C
Field #,X,Y,Z,X,Y,Z,X,Y,Z
519,-390.514221,305.446808,928.847168,-382.276062,205.714218,924.364624,-340.914368,256.883270,982.695313
520,-390.515076,305.442261,928.842529,-382.274475,205.708176,924.367065,-340.919647,256.892609,982.683167
521,-390.516144,305.437500,928.837402,-382.272980,205.702560,924.369629,-340.925781,256.902771,982.669373
522,-390.517456,305.432739,928.831787,-382.271637,205.697662,924.372253,-340.932739,256.913391,982.654175
523,-390.519043,305.428131,928.825928,-382.270477,205.693741,924.374756,-340.940460,256.923798,982.638000
524,-390.520874,305.423828,928.819824,-382.269531,205.690887,924.377136,-340.948822,256.933167,982.621399
525,-390.522919,305.419891,928.813599,-382.268738,205.689056,924.379333,-340.957489,256.940765,982.604980
526,-390.525055,305.416321,928.807495,-382.267944,205.688156,924.381226,-340.966156,256.946106,982.589355
527,-390.527100,305.413208,928.801575,-382.266998,205.687973,924.382813,-340.974426,256.949158,982.575012
528,-390.528900,305.410553,928.795837,-382.265839,205.688354,924.384155,-340.981903,256.950348,982.562256
529,-390.530212,305.408508,928.790466,-382.264404,205.689133,924.385193,-340.988342,256.950195,982.551147
530,-390.530884,305.407135,928.785339,-382.262665,205.690277,924.385986,-340.993591,256.949280,982.541748
531,-390.530914,305.406586,928.780640,-382.260712,205.691818,924.386536,-340.997620,256.948059,982.533936
532,-390.530304,305.406952,928.776123,-382.258606,205.693741,924.386780,-341.000519,256.946930,982.527527
533,-390.529205,305.408295,928.771851,-382.256378,205.696075,924.386658,-341.002472,256.946106,982.522400
534,-390.527771,305.410614,928.767761,-382.254211,205.698746,924.386230,-341.003693,256.945679,982.518250
535,-390.526337,305.413727,928.763855,-382.252258,205.701660,924.385498,-341.004486,256.945679,982.514954
536,-390.525177,305.417419,928.760132,-382.250702,205.704620,924.384521,-341.005127,256.945862,982.512329
537,-390.524536,305.421234,928.756714,-382.249725,205.707397,924.383362,-341.005829,256.945984,982.510254
538,-390.524658,305.424744,928.753723,-382.249390,205.709793,924.382080,-341.006897,256.945770,982.508484
539,-390.525787,305.427521,928.751099,-382.249786,205.711517,924.380615,-341.008423,256.944946,982.506958
540,-390.528015,305.429199,928.748962,-382.250916,205.712418,924.379089,-341.010529,256.943390,982.505615
541,-390.531525,305.429626,928.747192,-382.252869,205.712341,924.377502,-341.013367,256.941101,982.504395
542,-390.536407,305.428680,928.745789,-382.255676,205.711212,924.375916,-341.016998,256.938141,982.503174
543,-390.542755,305.426331,928.744629,-382.259338,205.709030,924.374451,-341.021545,256.934631,982.501892
544,-390.550690,305.422638,928.743530,-382.263916,205.705826,924.373108,-341.027130,256.930695,982.500610
545,-390.560150,305.417786,928.742493,-382.269440,205.701691,924.372009,-341.033783,256.926483,982.499207
546,-390.571136,305.411987,928.741455,-382.275909,205.696777,924.371094,-341.041565,256.922119,982.497620
547,-390.583496,305.405548,928.740356,-382.283295,205.691330,924.370422,-341.050385,256.917786,982.495911
548,-390.596924,305.398895,928.739136,-382.291473,205.685577,924.369934,-341.060150,256.913696,982.493958
549,-390.611145,305.392426,928.737854,-382.300323,205.679840,924.369751,-341.070618,256.910126,982.491882
550,-390.625793,305.386505,928.736389,-382.309662,205.674408,924.369751,-341.081604,256.907349,982.489746
551,-390.640472,305.381531,928.734680,-382.319336,205.669571,924.369934,-341.092926,256.905487,982.487427
552,-390.654877,305.377777,928.732849,-382.329132,205.665634,924.370422,-341.104340,256.904694,982.485107
553,-390.668793,305.375397,928.730896,-382.338867,205.662796,924.371033,-341.115570,256.904999,982.482849
554,-390.681915,305.374420,928.728882,-382.348358,205.661148,924.371826,-341.126404,256.906281,982.480713
555,-390.694061,305.374664,928.726868,-382.357391,205.660614,924.372559,-341.136566,256.908295,982.478760
556,-390.705017,305.375916,928.724976,-382.365753,205.661011,924.373291,-341.145874,256.910675,982.477051
557,-390.714569,305.377747,928.723511,-382.373199,205.662018,924.373779,-341.154083,256.912933,982.475647
558,-390.722595,305.379761,928.722473,-382.379486,205.663300,924.374084,-341.160919,256.914642,982.474426
559,-390.728851,305.381561,928.722168,-382.384430,205.664459,924.374146,-341.166229,256.915375,982.473572
560,-390.733246,305.382813,928.722595,-382.387848,205.665161,924.373901,-341.169830,256.914886,982.472900
561,-390.735565,305.383362,928.723816,-382.389679,205.665207,924.373474,-341.171509,256.913086,982.472473
562,-390.735779,305.383240,928.725769,-382.389862,205.664536,924.372681,-341.171204,256.910004,982.472046
563,-390.733734,305.382599,928.728394,-382.388489,205.663239,924.371643,-341.168945,256.905945,982.471680
564,-390.729431,305.381683,928.731384,-382.385620,205.661545,924.370361,-341.164734,256.901215,982.471252
565,-390.722809,305.380798,928.734558,-382.381439,205.659714,924.368896,-341.158813,256.896240,982.470886
566,-390.713989,305.380341,928.737610,-382.376221,205.658096,924.367310,-341.151367,256.891418,982.470459
567,-390.703094,305.380646,928.740356,-382.370239,205.656952,924.365540,-341.142670,256.887054,982.470032
568,-390.690338,305.382111,928.742615,-382.363770,205.656601,924.363586,-341.133057,256.883392,982.469604
569,-390.675995,305.384979,928.744263,-382.357269,205.657242,924.361389,-341.122894,256.880554,982.469177
570,-390.660339,305.389526,928.745178,-382.351105,205.659149,924.358887,-341.112610,256.878632,982.468750
571,-390.643738,305.395996,928.745239,-382.345703,205.662521,924.355957,-341.102661,256.877655,982.468201
572,-390.626587,305.404449,928.744446,-382.341461,205.667603,924.352478,-341.093445,256.877686,982.467529
573,-390.609283,305.415009,928.742798,-382.338745,205.674667,924.348206,-341.085480,256.878693,982.466614
574,-390.592194,305.427673,928.740295,-382.337982,205.683914,924.343079,-341.079041,256.880615,982.465454
575,-390.575562,305.442505,928.737183,-382.339478,205.695450,924.336853,-341.074524,256.883453,982.463928
576,-390.559662,305.459473,928.733398,-382.343506,205.709290,924.329590,-341.072144,256.887146,982.461975
577,-390.544647,305.478577,928.729187,-382.350281,205.725342,924.321350,-341.071991,256.891663,982.459534
578,-390.530640,305.499664,928.724548,-382.359894,205.743439,924.312195,-341.074127,256.896973,982.456604
579,-390.517822,305.522491,928.719543,-382.372345,205.763351,924.302368,-341.078461,256.903076,982.453064
580,-390.506226,305.546722,928.714294,-382.387421,205.784668,924.292053,-341.084839,256.909821,982.449097
581,-390.495972,305.571808,928.708862,-382.404846,205.806854,924.281555,-341.092957,256.917053,982.444702
582,-390.487091,305.597076,928.703369,-382.424164,205.829254,924.271240,-341.102417,256.924500,982.440002
583,-390.479553,305.621796,928.698242,-382.444794,205.851166,924.261414,-341.112762,256.931915,982.435181
584,-390.473328,305.645264,928.693726,-382.465973,205.871826,924.252747,-341.123322,256.938965,982.430481
585,-390.468323,305.666809,928.690430,-382.486938,205.890564,924.245728,-341.133453,256.945435,982.426331
586,-390.464417,305.685883,928.688904,-382.506958,205.906830,924.241150,-341.142273,256.951050,982.423157
587,-390.461426,305.702240,928.689819,-382.525330,205.920334,924.239807,-341.148926,256.955811,982.421387
588,-390.459137,305.715820,928.694214,-382.541443,205.931030,924.242554,-341.152283,256.959839,982.421509
589,-390.457092,305.726868,928.703003,-382.554871,205.939163,924.250488,-341.151154,256.963440,982.423950
590,-390.454803,305.735779,928.717529,-382.565247,205.945160,924.264832,-341.144196,256.967010,982.429321
591,-390.451691,305.743073,928.739319,-382.572388,205.949600,924.286865,-341.129883,256.970917,982.438049
592,-390.447083,305.749359,928.769897,-382.576111,205.953094,924.318054,-341.106567,256.975586,982.450745
593,-390.440369,305.755157,928.811096,-382.576385,205.956284,924.359924,-341.072571,256.981384,982.467773
594,-390.430969,305.760895,928.864563,-382.573151,205.959778,924.413940,-341.026215,256.988525,982.489868
595,-390.418304,305.766876,928.932190,-382.566437,205.964035,924.481506,-340.965851,256.997223,982.517334
596,-390.401978,305.773407,929.015564,-382.556183,205.969406,924.564026,-340.890045,257.007507,982.550720
597,-390.381653,305.780609,929.116028,-382.542419,205.976105,924.662598,-340.797577,257.019287,982.590454
598,-390.357178,305.788574,929.234924,-382.525177,205.984177,924.778137,-340.687439,257.032471,982.636780
599,-390.328522,305.797302,929.373047,-382.504486,205.993546,924.911499,-340.558868,257.046875,982.690063
600,-390.295746,305.806641,929.531250,-382.480286,206.004105,925.063232,-340.411346,257.062347,982.750305
601,-390.258942,305.816406,929.710083,-382.452545,206.015762,925.233948,-340.244507,257.078735,982.817810
602,-390.218201,305.826416,929.910034,-382.421112,206.028458,925.423828,-340.058136,257.095917,982.892517
603,-390.173431,305.836670,930.131104,-382.385895,206.042130,925.632996,-339.852325,257.113831,982.974426
604,-390.124481,305.847260,930.373169,-382.346649,206.056686,925.861389,-339.627228,257.132416,983.063354
605,-390.071136,305.858551,930.635803,-382.303253,206.071930,926.108826,-339.383118,257.151703,983.158936
606,-390.013214,305.870819,930.918396,-382.255585,206.087509,926.375122,-339.120575,257.171631,983.260681
607,-389.950653,305.884216,931.220154,-382.203583,206.102951,926.659973,-338.840118,257.192261,983.368164
608,-389.883392,305.898895,931.540344,-382.147369,206.117706,926.963196,-338.542542,257.213470,983.480835
609,-389.811493,305.914825,931.877808,-382.087067,206.131134,927.284302,-338.228668,257.235321,983.598328
610,-389.734802,305.931946,932.231384,-382.022919,206.142654,927.622925,-337.899353,257.257782,983.720093
611,-389.653107,305.950165,932.599548,-381.955170,206.151871,927.978333,-337.555573,257.280975,983.845581
612,-389.566132,305.969360,932.980774,-381.884155,206.158661,928.349548,-337.198364,257.305054,983.974060
613,-389.473755,305.989288,933.373657,-381.810242,206.163147,928.735474,-336.828949,257.330109,984.104919
614,-389.375916,306.009888,933.776917,-381.733856,206.165756,929.134766,-336.448517,257.356323,984.237488
615,-389.272644,306.031067,934.189270,-381.655487,206.167145,929.545959,-336.058350,257.383698,984.371033
616,-389.163849,306.053131,934.609497,-381.575714,206.168198,929.967285,-335.659760,257.412262,984.505005
617,-389.049500,306.076660,935.036438,-381.495178,206.169891,930.397156,-335.254059,257.442017,984.638794
618,-388.929413,306.102661,935.468689,-381.414520,206.173355,930.833923,-334.842560,257.473022,984.771912
619,-388.803284,306.132294,935.904907,-381.334381,206.179855,931.275879,-334.426483,257.505371,984.903625
620,-388.670837,306.166840,936.343872,-381.255432,206.190628,931.721497,-334.007080,257.539154,985.033447
621,-388.531769,306.207520,936.784363,-381.178253,206.206787,932.169495,-333.585327,257.574554,985.160950
622,-388.385803,306.255371,937.225586,-381.103394,206.229279,932.618713,-333.162201,257.611786,985.285828
623,-388.232941,306.311005,937.666931,-381.031189,206.258835,933.068481,-332.738312,257.651031,985.407654
624,-388.073029,306.374725,938.107910,-380.961823,206.295929,933.518250,-332.314148,257.692322,985.526428
625,-387.905914,306.446716,938.548279,-380.895294,206.340683,933.967773,-331.889923,257.735504,985.641968
626,-387.731445,306.526855,938.987610,-380.831421,206.392838,934.417297,-331.465546,257.780426,985.754150
627,-387.549561,306.614777,939.425781,-380.769745,206.451828,934.867065,-331.040680,257.827026,985.863037
