Trial08
Date:,2017/07/11
Time:,17:07:08
Type:,
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,A,,,B,,,C
Field #,X,Y,Z,X,Y,Z,X,Y,Z
677,-381.977325,319.257263,930.283325,-389.892639,218.637466,926.475586,-339.671570,263.160248,983.220947
678,-381.978058,319.253326,930.283569,-389.893005,218.633591,926.477539,-339.671234,263.159607,983.219299
679,-381.978790,319.249146,930.283630,-389.893097,218.629303,926.479309,-339.670685,263.158661,983.217529
680,-381.979462,319.244873,930.283325,-389.892883,218.624649,926.480713,-339.669891,263.157349,983.215698
681,-381.980103,319.240570,930.282837,-389.892334,218.619705,926.481750,-339.668945,263.155701,983.213867
682,-381.980743,319.236298,930.282043,-389.891571,218.614563,926.482422,-339.667847,263.153717,983.212097
683,-381.981415,319.231995,930.281067,-389.890594,218.609299,926.482605,-339.666718,263.151398,983.210327
684,-381.982178,319.227692,930.279907,-389.889526,218.604080,926.482300,-339.665680,263.148773,983.208679
685,-381.983063,319.223297,930.278687,-389.888336,218.599030,926.481506,-339.664825,263.145874,983.207031
686,-381.984161,319.218811,930.277405,-389.887054,218.594223,926.480042,-339.664185,263.142792,983.205505
687,-381.985474,319.214233,930.276123,-389.885681,218.589722,926.478149,-339.663788,263.139587,983.203979
688,-381.986938,319.209595,930.274780,-389.884308,218.585556,926.475769,-339.663666,263.136383,983.202515
689,-381.988464,319.204956,930.273438,-389.882935,218.581818,926.473206,-339.663727,263.133392,983.201111
690,-381.989929,319.200562,930.272156,-389.881561,218.578659,926.470520,-339.663940,263.130798,983.199707
691,-381.991089,319.196625,930.270935,-389.880188,218.576340,926.467773,-339.664185,263.128937,983.198303
692,-381.991821,319.193542,930.269714,-389.878784,218.575195,926.464905,-339.664490,263.128052,983.196960
693,-381.991882,319.191681,930.268555,-389.877258,218.575562,926.461914,-339.664764,263.128387,983.195618
694,-381.991150,319.191406,930.267517,-389.875610,218.577713,926.458618,-339.665039,263.130127,983.194336
695,-381.989441,319.193054,930.266541,-389.873962,218.581940,926.455078,-339.665253,263.133514,983.193115
696,-381.986694,319.196869,930.265747,-389.872437,218.588440,926.451355,-339.665375,263.138580,983.192017
697,-381.982697,319.203094,930.265198,-389.871216,218.597443,926.447632,-339.665314,263.145447,983.191040
698,-381.977448,319.211884,930.264893,-389.870453,218.609055,926.444092,-339.665070,263.154114,983.190308
699,-381.970825,319.223297,930.264893,-389.870270,218.623367,926.440857,-339.664581,263.164490,983.189697
700,-381.962952,319.237244,930.265320,-389.870911,218.640320,926.438232,-339.663971,263.176483,983.189392
701,-381.953979,319.253540,930.266052,-389.872681,218.659760,926.436340,-339.663330,263.189911,983.189270
702,-381.944336,319.271851,930.267090,-389.875977,218.681320,926.435364,-339.662964,263.204468,983.189453
703,-381.934570,319.291748,930.268250,-389.881287,218.704544,926.435486,-339.663269,263.219910,983.189819
704,-381.925323,319.312622,930.269348,-389.889008,218.728760,926.436768,-339.664581,263.235809,983.190369
705,-381.917297,319.334015,930.270203,-389.899445,218.753265,926.439148,-339.667328,263.251892,983.190857
706,-381.911133,319.355347,930.270447,-389.912628,218.777313,926.442627,-339.671722,263.267975,983.191345
707,-381.907379,319.376221,930.269836,-389.928192,218.800232,926.446960,-339.677917,263.284088,983.191650
708,-381.906555,319.396240,930.268066,-389.945404,218.821442,926.452087,-339.685730,263.300415,983.191650
709,-381.909058,319.415100,930.264893,-389.963043,218.840469,926.457764,-339.694763,263.317352,983.191345
710,-381.915283,319.432434,930.260010,-389.979462,218.856918,926.463745,-339.704407,263.335358,983.190674
711,-381.925598,319.447845,930.253296,-389.992798,218.870316,926.469788,-339.714020,263.354828,983.189697
712,-381.940491,319.460632,930.244751,-390.001160,218.880020,926.475586,-339.723022,263.375854,983.188477
713,-381.960907,319.469543,930.234436,-390.002960,218.884857,926.480774,-339.731171,263.397980,983.187134
714,-381.988312,319.472809,930.222595,-389.996704,218.882996,926.485046,-339.738495,263.420319,983.185791
715,-382.024719,319.467865,930.209351,-389.981079,218.871857,926.488098,-339.745300,263.441284,983.184570
716,-382.072449,319.451599,930.195190,-389.954620,218.848236,926.489624,-339.752014,263.458954,983.183594
717,-382.133881,319.420471,930.180725,-389.915802,218.808594,926.489319,-339.758911,263.471069,983.183167
718,-382.211304,319.370819,930.166504,-389.862854,218.749237,926.487061,-339.766083,263.475433,983.183350
719,-382.306519,319.299164,930.153259,-389.793945,218.666687,926.482666,-339.773438,263.469940,983.184326
720,-382.420990,319.202423,930.141418,-389.707458,218.557770,926.476196,-339.780762,263.452728,983.186096
721,-382.555695,319.078003,930.131348,-389.601959,218.419724,926.467651,-339.787811,263.422241,983.188721
722,-382.711395,318.923584,930.123474,-389.476501,218.250458,926.457153,-339.794495,263.377258,983.192078
723,-382.888519,318.737396,930.118042,-389.330719,218.048569,926.444824,-339.800812,263.316895,983.196167
724,-383.087128,318.518402,930.115173,-389.164856,217.813507,926.430847,-339.806946,263.240692,983.200623
725,-383.306976,318.266510,930.114746,-388.979828,217.545593,926.415222,-339.813324,263.148621,983.205139
726,-383.547546,317.982300,930.116394,-388.777008,217.245880,926.398010,-339.820343,263.040955,983.209473
727,-383.808136,317.667084,930.119690,-388.557831,216.916016,926.379272,-339.828461,262.918396,983.213196
728,-384.087708,317.322540,930.124329,-388.323639,216.558121,926.358948,-339.837891,262.781860,983.216003
729,-384.384979,316.950806,930.129883,-388.075684,216.174759,926.337219,-339.848663,262.632629,983.217590
730,-384.698303,316.554260,930.136108,-387.815186,215.768967,926.314148,-339.860657,262.472260,983.217896
731,-385.025513,316.135590,930.142639,-387.543396,215.344208,926.290222,-339.873566,262.302795,983.216919
732,-385.364014,315.697723,930.149048,-387.261627,214.904297,926.265869,-339.886993,262.126678,983.214844
733,-385.710815,315.243927,930.154724,-386.971405,214.453323,926.241882,-339.900665,261.946777,983.211853
734,-386.062653,314.777863,930.158752,-386.674347,213.995346,926.219116,-339.914246,261.765991,983.208252
735,-386.416321,314.303223,930.160278,-386.372040,213.534149,926.198486,-339.927643,261.586914,983.204285
736,-386.769012,313.823303,930.158203,-386.065735,213.072937,926.180664,-339.940735,261.411652,983.200195
737,-387.118622,313.340576,930.151917,-385.756287,212.613953,926.166077,-339.953583,261.241364,983.196106
738,-387.464020,312.856201,930.141357,-385.444031,212.158218,926.155090,-339.966187,261.076416,983.192017
739,-387.804993,312.370026,930.126953,-385.128784,211.705582,926.147705,-339.978516,260.916229,983.187988
740,-388.142151,311.880585,930.109619,-384.809875,211.254745,926.143921,-339.990570,260.759430,983.184204
741,-388.476776,311.385284,930.090393,-384.486023,210.803360,926.143250,-340.002197,260.603882,983.180664
742,-388.810669,310.880615,930.070618,-384.155273,210.348236,926.145081,-340.013306,260.446960,983.177368
743,-389.146027,310.362518,930.051147,-383.815002,209.885559,926.148438,-340.023743,260.285828,983.174316
744,-389.485291,309.826691,930.032837,-383.462158,209.411362,926.152283,-340.033325,260.117981,983.171570
745,-389.830872,309.269226,930.015930,-383.093506,208.922058,926.155701,-340.041931,259.941467,983.168945
746,-390.184906,308.686859,930.000732,-382.706024,208.414917,926.157898,-340.049408,259.755066,983.166443
