Trial05
Date:,2017/07/11
Time:,17:04:26
Type:,
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,A,,,B,,,C
Field #,X,Y,Z,X,Y,Z,X,Y,Z
626,-389.100220,304.357178,928.556885,-381.621643,204.171310,925.398621,-339.353180,255.696777,982.487610
627,-389.104980,304.355835,928.556824,-381.621979,204.171539,925.398438,-339.310791,255.683777,982.493774
628,-389.109467,304.352814,928.556946,-381.621765,204.170273,925.398071,-339.263977,255.668060,982.500793
629,-389.113464,304.347748,928.557251,-381.620941,204.167145,925.397522,-339.214447,255.649826,982.508240
630,-389.116730,304.340454,928.557739,-381.619385,204.161972,925.396729,-339.164642,255.629639,982.515747
631,-389.119263,304.330994,928.558411,-381.617157,204.154755,925.395630,-339.116730,255.608215,982.522949
632,-389.121094,304.319519,928.559143,-381.614288,204.145721,925.394348,-339.072388,255.586349,982.529419
633,-389.122314,304.306366,928.559814,-381.610931,204.135254,925.392700,-339.032623,255.564728,982.535095
634,-389.122986,304.292053,928.560425,-381.607361,204.123901,925.390808,-338.997864,255.544006,982.539795
635,-389.123138,304.277222,928.560913,-381.603821,204.112335,925.388489,-338.968262,255.524765,982.543396
636,-389.122711,304.262543,928.561279,-381.600677,204.101242,925.385864,-338.943634,255.507462,982.545898
637,-389.121735,304.248627,928.561401,-381.598328,204.091293,925.382751,-338.923523,255.492416,982.547241
638,-389.120209,304.236084,928.561218,-381.597137,204.083054,925.379089,-338.907471,255.479797,982.547424
639,-389.118195,304.225250,928.560730,-381.597443,204.076965,925.374634,-338.895020,255.469635,982.546631
640,-389.115936,304.216492,928.559692,-381.599640,204.073364,925.369202,-338.885864,255.461853,982.545044
641,-389.113586,304.210114,928.557983,-381.604156,204.072556,925.362488,-338.879791,255.456329,982.542969
642,-389.111420,304.206329,928.555542,-381.611481,204.074738,925.354065,-338.876740,255.452972,982.540527
643,-389.109680,304.205261,928.552063,-381.622009,204.080139,925.343628,-338.876678,255.451721,982.538025
644,-389.108643,304.207031,928.547485,-381.636108,204.088821,925.330627,-338.879639,255.452484,982.535461
645,-389.108521,304.211609,928.541626,-381.653839,204.100800,925.314575,-338.885651,255.455170,982.532959
646,-389.109497,304.218872,928.534302,-381.675079,204.115921,925.294861,-338.894714,255.459656,982.530396
647,-389.111664,304.228760,928.525391,-381.699371,204.133957,925.270935,-338.906799,255.465820,982.527710
648,-389.115021,304.241150,928.514832,-381.725922,204.154526,925.242371,-338.921783,255.473633,982.524841
649,-389.119568,304.255981,928.502625,-381.753632,204.177124,925.209045,-338.939545,255.483047,982.521667
650,-389.125336,304.273163,928.488831,-381.780945,204.200958,925.171021,-338.959839,255.494141,982.518188
651,-389.132233,304.292664,928.473755,-381.805847,204.224991,925.128845,-338.982391,255.506973,982.514465
652,-389.140320,304.314331,928.457825,-381.825836,204.247833,925.083618,-339.006714,255.521591,982.510620
