Trial10
Date:,2017/07/11
Time:,17:13:37
Type:,
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,A,,,B,,,C
Field #,X,Y,Z,X,Y,Z,X,Y,Z
726,-389.833252,308.653992,929.619141,-381.818909,208.447540,925.575134,-340.388062,259.834045,983.501648
727,-389.835419,308.654480,929.618530,-381.823883,208.450317,925.573792,-340.389618,259.834564,983.498840
728,-389.837891,308.654938,929.617981,-381.828705,208.453171,925.572327,-340.391357,259.835175,983.496033
729,-389.840668,308.655334,929.617371,-381.833099,208.455872,925.570801,-340.393250,259.835846,983.493225
730,-389.843658,308.655701,929.616882,-381.836578,208.458176,925.569275,-340.395233,259.836517,983.490601
731,-389.846863,308.656036,929.616394,-381.838501,208.459747,925.567810,-340.397186,259.837219,983.488281
732,-389.850128,308.656433,929.615967,-381.838226,208.460205,925.566528,-340.398987,259.838013,983.486267
733,-389.853363,308.656982,929.615662,-381.834869,208.459106,925.565491,-340.400391,259.838959,983.484680
734,-389.856476,308.657776,929.615479,-381.827484,208.455887,925.564697,-340.401215,259.840088,983.483582
735,-389.859222,308.658875,929.615417,-381.814941,208.449966,925.564209,-340.401184,259.841370,983.483093
736,-389.861420,308.660370,929.615540,-381.796112,208.440643,925.564026,-340.400055,259.842743,983.483154
737,-389.862854,308.662292,929.615845,-381.769775,208.427155,925.564209,-340.397491,259.844086,983.483887
738,-389.863159,308.664703,929.616333,-381.734650,208.408707,925.564819,-340.393127,259.845245,983.485291
739,-389.861938,308.667633,929.617126,-381.689606,208.384598,925.566040,-340.386505,259.846130,983.487488
740,-389.858734,308.671051,929.618225,-381.633698,208.354233,925.567932,-340.377136,259.846527,983.490417
741,-389.852875,308.675110,929.619568,-381.566193,208.317200,925.570557,-340.364441,259.846283,983.494263
742,-389.843658,308.679932,929.621277,-381.486877,208.273468,925.574097,-340.347870,259.845337,983.498962
743,-389.830200,308.685760,929.623352,-381.396240,208.223389,925.578491,-340.326874,259.843658,983.504395
744,-389.811554,308.692871,929.625732,-381.295593,208.167908,925.583801,-340.301056,259.841156,983.510559
745,-389.786713,308.701447,929.628357,-381.187561,208.108734,925.589844,-340.270142,259.837738,983.517151
746,-389.754669,308.711639,929.631104,-381.076416,208.048401,925.596436,-340.234253,259.833191,983.523987
747,-389.714600,308.723389,929.633789,-380.967255,207.989853,925.603333,-340.193787,259.827301,983.530579
748,-389.665894,308.736450,929.636169,-380.864624,207.935608,925.610229,-340.149872,259.819885,983.536621
749,-389.608337,308.750366,929.637939,-380.771759,207.887314,925.616943,-340.104126,259.811035,983.541809
750,-389.542175,308.764587,929.638855,-380.690430,207.845764,925.623230,-340.058685,259.801208,983.545959
751,-389.468445,308.778412,929.638611,-380.621490,207.811081,925.629028,-340.015503,259.790894,983.549194
752,-389.389160,308.791138,929.637085,-380.564972,207.783020,925.634094,-339.976044,259.780609,983.551697
753,-389.307526,308.802338,929.634277,-380.520294,207.761047,925.638428,-339.941162,259.770691,983.553589
754,-389.227356,308.811737,929.630615,-380.486481,207.744492,925.641907,-339.911346,259.761353,983.554993
755,-389.152008,308.819366,929.626404,-380.462128,207.732605,925.644531,-339.886627,259.752899,983.556030
756,-389.083771,308.825378,929.622009,-380.445709,207.724640,925.646301,-339.866821,259.745422,983.556702
757,-389.023926,308.830048,929.617859,-380.435638,207.719772,925.647095,-339.851563,259.739044,983.557129
758,-388.972931,308.833649,929.614136,-380.430420,207.717270,925.647034,-339.840332,259.733795,983.557312
759,-388.930695,308.836456,929.611084,-380.428802,207.716415,925.646118,-339.832550,259.729736,983.557373
760,-388.896759,308.838593,929.608704,-380.429626,207.716568,925.644409,-339.827698,259.726715,983.557373
761,-388.870453,308.840118,929.607056,-380.432037,207.717178,925.642151,-339.825256,259.724609,983.557373
762,-388.850922,308.841034,929.606201,-380.435303,207.717819,925.639282,-339.824799,259.723145,983.557434
763,-388.837372,308.841187,929.606018,-380.438873,207.718124,925.636169,-339.825989,259.722107,983.557678
764,-388.828949,308.840485,929.606506,-380.442291,207.717850,925.632751,-339.828491,259.721222,983.557922
765,-388.824768,308.838837,929.607605,-380.445313,207.716782,925.629211,-339.832031,259.720367,983.558228
766,-388.824066,308.836212,929.609192,-380.447662,207.714859,925.625610,-339.836334,259.719421,983.558472
767,-388.825958,308.832703,929.611328,-380.449371,207.712067,925.621887,-339.841095,259.718292,983.558655
768,-388.829834,308.828461,929.613892,-380.450439,207.708511,925.618225,-339.846100,259.717010,983.558716
769,-388.835022,308.823578,929.616821,-380.450928,207.704330,925.614563,-339.851166,259.715576,983.558838
770,-388.841034,308.818329,929.619995,-380.450867,207.699753,925.611084,-339.856110,259.714142,983.558838
771,-388.847382,308.812897,929.623352,-380.450317,207.695007,925.607849,-339.860931,259.712769,983.558838
772,-388.853607,308.807495,929.626770,-380.449371,207.690292,925.604980,-339.865479,259.711487,983.558777
773,-388.859436,308.802277,929.630066,-380.448120,207.685837,925.602478,-339.869751,259.710358,983.558655
774,-388.864594,308.797333,929.633118,-380.446716,207.681793,925.600342,-339.873688,259.709320,983.558411
775,-388.869019,308.792816,929.635803,-380.445404,207.678284,925.598694,-339.877258,259.708252,983.558167
776,-388.872742,308.788757,929.638062,-380.444336,207.675400,925.597351,-339.880432,259.707123,983.557861
777,-388.875854,308.785126,929.639954,-380.443634,207.673157,925.596313,-339.883301,259.705872,983.557556
778,-388.878601,308.782013,929.641541,-380.443542,207.671570,925.595581,-339.885925,259.704407,983.557251
779,-388.881378,308.779388,929.642944,-380.444153,207.670578,925.595154,-339.888458,259.702667,983.557068
780,-388.884644,308.777283,929.644470,-380.445587,207.670181,925.595032,-339.891083,259.700592,983.557007
