Trial06
Date:,2017/07/11
Time:,17:04:57
Type:,
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,A,,,B,,,C
Field #,X,Y,Z,X,Y,Z,X,Y,Z
599,-388.734070,305.756531,928.983398,-381.505829,205.410065,925.796387,-339.217102,257.019531,982.809265
600,-388.736084,305.750732,928.979370,-381.505585,205.404907,925.791626,-339.218842,257.014374,982.807861
601,-388.737976,305.745300,928.973572,-381.504791,205.400513,925.784729,-339.221832,257.009399,982.805908
602,-388.739685,305.740692,928.965820,-381.503326,205.397446,925.775330,-339.226349,257.005005,982.803284
603,-388.741058,305.737457,928.955872,-381.501221,205.396332,925.763245,-339.232727,257.001587,982.799988
604,-388.742157,305.735962,928.943359,-381.498596,205.397720,925.747986,-339.241333,256.999451,982.795959
605,-388.743073,305.736542,928.928223,-381.495697,205.401978,925.729553,-339.252472,256.998810,982.791016
606,-388.744171,305.739349,928.910400,-381.492859,205.409256,925.707703,-339.266510,256.999695,982.785339
607,-388.745819,305.744385,928.889893,-381.490570,205.419540,925.682495,-339.283630,257.002136,982.778748
608,-388.748413,305.751587,928.866821,-381.489258,205.432648,925.654236,-339.304077,257.006165,982.771484
609,-388.752380,305.760773,928.841553,-381.489502,205.448303,925.623291,-339.327881,257.011780,982.763611
610,-388.758087,305.771729,928.814636,-381.491882,205.466110,925.590576,-339.354919,257.019012,982.755493
611,-388.765717,305.784119,928.787109,-381.496796,205.485550,925.557251,-339.384613,257.027740,982.747498
612,-388.775452,305.797577,928.760315,-381.504486,205.506012,925.524902,-339.415833,257.037689,982.740295
613,-388.787292,305.811523,928.736023,-381.514954,205.526825,925.495667,-339.446716,257.048553,982.734558
614,-388.800995,305.825470,928.716797,-381.527954,205.547318,925.472229,-339.474670,257.059998,982.731079
615,-388.816162,305.838837,928.705688,-381.542877,205.566818,925.458008,-339.496399,257.071808,982.731140
616,-388.832092,305.851227,928.706604,-381.558899,205.584732,925.457031,-339.507874,257.083832,982.736084
617,-388.847809,305.862152,928.724182,-381.574707,205.600494,925.474182,-339.504181,257.096069,982.747620
618,-388.861969,305.871277,928.763855,-381.588715,205.613617,925.515198,-339.479706,257.108704,982.767639
619,-388.873016,305.878326,928.831848,-381.599030,205.623657,925.586304,-339.427979,257.122040,982.798157
620,-388.878998,305.883087,928.934753,-381.603455,205.630219,925.694458,-339.342133,257.136566,982.841248
621,-388.877686,305.885529,929.079651,-381.599701,205.632980,925.846863,-339.214935,257.152863,982.899231
622,-388.866760,305.885620,929.273804,-381.585358,205.631638,926.050903,-339.039154,257.171509,982.974182
623,-388.843719,305.883453,929.523926,-381.558105,205.626022,926.313660,-338.807953,257.193146,983.067932
624,-388.806091,305.879242,929.836243,-381.515686,205.616043,926.641296,-338.515320,257.218414,983.182068
625,-388.751434,305.873352,930.215942,-381.456116,205.601700,927.039307,-338.156219,257.247833,983.317566
626,-388.677521,305.866333,930.667175,-381.377594,205.583237,927.511719,-337.726685,257.281769,983.474731
627,-388.582184,305.858765,931.192932,-381.278503,205.561035,928.061340,-337.223816,257.320557,983.653442
628,-388.463379,305.851318,931.795105,-381.157562,205.535736,928.689880,-336.645721,257.364319,983.852844
629,-388.319031,305.844513,932.474915,-381.013550,205.508163,929.397766,-335.991364,257.413025,984.071472
630,-388.147034,305.839020,933.232544,-380.845428,205.479294,930.184509,-335.260345,257.466522,984.307312
631,-387.945160,305.835785,934.067505,-380.652039,205.450195,931.048645,-334.452789,257.524536,984.557922
632,-387.710968,305.835754,934.978638,-380.432068,205.421951,931.987976,-333.569214,257.586823,984.820374
633,-387.441956,305.839935,935.964233,-380.183899,205.395477,932.999939,-332.610443,257.653168,985.091553
634,-387.135529,305.849152,937.021973,-379.905670,205.371475,934.081543,-331.577484,257.723328,985.368042
635,-386.789093,305.863983,938.149719,-379.595367,205.350464,935.229919,-330.471344,257.797211,985.646606
636,-386.400208,305.884888,939.344788,-379.250885,205.332748,936.442139,-329.293274,257.874664,985.923767
637,-385.966492,305.912354,940.604553,-378.869904,205.318558,937.715759,-328.044525,257.955688,986.196228
638,-385.485596,305.946777,941.926025,-378.450012,205.308167,939.048157,-326.726440,258.040344,986.460693
639,-384.955109,305.988159,943.306396,-377.988586,205.301773,940.436951,-325.340302,258.128632,986.713806
640,-384.372681,306.036194,944.742615,-377.482758,205.299469,941.879944,-323.887299,258.220612,986.952148
641,-383.735870,306.090332,946.231812,-376.929443,205.301193,943.374695,-322.368591,258.316254,987.172180
642,-383.042053,306.149689,947.770935,-376.325317,205.306747,944.918579,-320.785461,258.415375,987.370117
643,-382.288544,306.213257,949.356750,-375.666779,205.315964,946.508606,-319.139191,258.517731,987.542114
644,-381.472473,306.279938,950.985657,-374.950073,205.328705,948.141357,-317.431122,258.623108,987.684265
645,-380.590790,306.348755,952.653748,-374.171234,205.345032,949.812866,-315.662689,258.731232,987.792297
646,-379.640381,306.419006,954.356750,-373.326141,205.365204,951.518860,-313.835266,258.841949,987.861816
647,-378.618103,306.489990,956.090149,-372.410645,205.389679,953.254761,-311.950531,258.955109,987.888367
648,-377.520721,306.561249,957.849304,-371.420563,205.419128,955.015442,-310.010254,259.070496,987.867188
649,-376.345123,306.632446,959.629089,-370.351837,205.454498,956.795471,-308.016418,259.187927,987.793640
650,-375.088257,306.703613,961.424011,-369.200653,205.496811,958.589050,-305.971344,259.307159,987.662964
651,-373.747070,306.775238,963.227966,-367.963440,205.547089,960.390198,-303.877747,259.427917,987.470337
652,-372.318542,306.848297,965.034424,-366.637054,205.606110,962.192871,-301.738800,259.549866,987.210876
653,-370.799774,306.923981,966.836243,-365.218903,205.674347,963.991272,-299.558075,259.672546,986.879395
654,-369.188446,307.003571,968.626404,-363.707001,205.752090,965.779602,-297.339691,259.795502,986.470886
655,-367.482849,307.088013,970.398071,-362.100037,205.839661,967.551941,-295.088226,259.918274,985.980652
656,-365.681946,307.178101,972.144226,-360.397064,205.937531,969.301514,-292.808746,260.040405,985.403870
657,-363.785339,307.274506,973.857422,-358.597534,206.046082,971.021362,-290.506622,260.161499,984.736145
658,-361.793365,307.377838,975.530151,-356.701447,206.165375,972.704285,-288.187775,260.281250,983.973328
659,-359.706909,307.488495,977.154358,-354.709351,206.295105,974.343018,-285.858398,260.399506,983.111450
660,-357.527588,307.606567,978.722107,-352.622375,206.434708,975.930542,-283.525055,260.516266,982.146912
661,-355.257629,307.731873,980.225403,-350.442200,206.583389,977.459900,-281.194550,260.631744,981.076538
662,-352.900055,307.863708,981.656616,-348.171326,206.740219,978.924316,-278.873932,260.746368,979.898071
663,-350.458740,308.001282,983.008545,-345.812866,206.904190,980.317200,-276.570496,260.860748,978.609924
