global time,time(in ms),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,QuatX,QuatY,QuatZ,QuatW
17/07/11 05:13:41:309,6,-0.77124023,0.038085938,0.5605469,-0.038312104,-0.044697456,0.0063853506,0.020019531,0.45214844,0.0,0.89160156
17/07/11 05:13:41:314,11,-0.77124023,0.038085938,0.5605469,-0.038312104,-0.044697456,0.0063853506,0.020019531,0.45214844,0.0,0.89160156
17/07/11 05:13:41:319,16,-0.77075195,0.034423828,0.5654297,-0.03937633,-0.044697456,0.0074495757,0.020507813,0.45263672,0.0,0.8911133
17/07/11 05:13:41:325,22,-0.77075195,0.034423828,0.5654297,-0.03937633,-0.044697456,0.0074495757,0.020507813,0.45263672,0.0,0.8911133
17/07/11 05:13:41:331,28,-0.765625,0.03564453,0.5632324,-0.038312104,-0.04576168,0.0074495757,0.020019531,0.45214844,0.0,0.89160156
17/07/11 05:13:41:336,33,-0.7609863,0.03491211,0.5671387,-0.037247878,-0.046825904,0.0063853506,0.020507813,0.45117188,0.0,0.89208984
17/07/11 05:13:41:342,39,-0.7609863,0.03491211,0.5671387,-0.037247878,-0.046825904,0.0063853506,0.020507813,0.45117188,0.0,0.89208984
17/07/11 05:13:41:348,45,-0.7609863,0.03491211,0.5671387,-0.037247878,-0.046825904,0.0063853506,0.020507813,0.45117188,0.0,0.89208984
17/07/11 05:13:41:353,50,-0.77246094,0.03466797,0.5629883,-0.037247878,-0.044697456,0.008513801,0.020507813,0.4506836,0.0,0.89208984
17/07/11 05:13:41:359,56,-0.7722168,0.03515625,0.56103516,-0.036183655,-0.04576168,0.0074495757,0.020019531,0.45117188,0.0,0.89208984
17/07/11 05:13:41:366,63,-0.7722168,0.03515625,0.56103516,-0.036183655,-0.04576168,0.0074495757,0.020019531,0.45117188,0.0,0.89208984
17/07/11 05:13:41:372,69,-0.76293945,0.036621094,0.5629883,-0.036183655,-0.04789013,0.0053211255,0.020019531,0.45214844,0.0,0.89160156
17/07/11 05:13:41:379,76,-0.76293945,0.036621094,0.5629883,-0.036183655,-0.04789013,0.0053211255,0.020019531,0.45214844,0.0,0.89160156
17/07/11 05:13:41:385,82,-0.76293945,0.036621094,0.5629883,-0.036183655,-0.04789013,0.0053211255,0.020019531,0.45214844,0.0,0.89160156
17/07/11 05:13:41:390,87,-0.7631836,0.03540039,0.56152344,-0.038312104,-0.04576168,0.0063853506,0.020507813,0.45117188,0.0,0.89208984
17/07/11 05:13:41:396,93,-0.7663574,0.033203125,0.56469727,-0.036183655,-0.04363323,0.0074495757,0.020507813,0.4506836,0.0,0.89208984
