global time,time(in ms),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,QuatX,QuatY,QuatZ,QuatW
17/07/11 05:07:01:751,27,-0.75512695,0.030517578,0.5788574,-0.03511943,-0.04576168,0.0063853506,0.018554688,0.4428711,-4.8828125E-4,0.8964844
17/07/11 05:07:01:756,32,-0.75512695,0.030517578,0.5788574,-0.03511943,-0.04576168,0.0063853506,0.018554688,0.4428711,-4.8828125E-4,0.8964844
17/07/11 05:07:01:761,37,-0.75512695,0.030517578,0.5788574,-0.03511943,-0.04576168,0.0063853506,0.018554688,0.4428711,-4.8828125E-4,0.8964844
17/07/11 05:07:01:766,42,-0.75512695,0.030517578,0.5788574,-0.03511943,-0.04576168,0.0063853506,0.018554688,0.4428711,-4.8828125E-4,0.8964844
17/07/11 05:07:01:771,47,-0.7585449,0.033447266,0.5739746,-0.034055203,-0.04576168,0.0063853506,0.018554688,0.4428711,-4.8828125E-4,0.8964844
17/07/11 05:07:01:777,53,-0.7585449,0.033447266,0.5739746,-0.034055203,-0.04576168,0.0063853506,0.018554688,0.4428711,-4.8828125E-4,0.8964844
17/07/11 05:07:01:786,62,-0.7585449,0.033447266,0.5739746,-0.034055203,-0.04576168,0.0063853506,0.018554688,0.4428711,-4.8828125E-4,0.8964844
17/07/11 05:07:01:792,68,-0.7585449,0.033447266,0.5739746,-0.034055203,-0.04576168,0.0063853506,0.018554688,0.4428711,-4.8828125E-4,0.8964844
17/07/11 05:07:01:796,72,-0.7585449,0.033447266,0.5739746,-0.034055203,-0.04576168,0.0063853506,0.018554688,0.4428711,-4.8828125E-4,0.8964844
17/07/11 05:07:01:801,77,-0.75341797,0.032714844,0.57666016,-0.036183655,-0.04576168,0.0053211255,0.018066406,0.4423828,-4.8828125E-4,0.8964844
17/07/11 05:07:01:806,82,-0.7607422,0.033691406,0.57910156,-0.037247878,-0.04576168,0.0063853506,0.01953125,0.4423828,0.0,0.8964844
17/07/11 05:07:01:826,102,-0.7590332,0.03149414,0.57788086,-0.03511943,-0.04576168,0.0053211255,0.01953125,0.4428711,0.0,0.8959961
17/07/11 05:07:01:832,108,-0.7590332,0.03149414,0.57788086,-0.03511943,-0.04576168,0.0053211255,0.01953125,0.4428711,0.0,0.8959961
17/07/11 05:07:01:837,113,-0.7590332,0.03149414,0.57788086,-0.03511943,-0.04576168,0.0053211255,0.01953125,0.4428711,0.0,0.8959961
17/07/11 05:07:01:842,118,-0.7590332,0.03149414,0.57788086,-0.03511943,-0.04576168,0.0053211255,0.01953125,0.4428711,0.0,0.8959961
17/07/11 05:07:01:847,123,-0.7590332,0.03149414,0.57788086,-0.03511943,-0.04576168,0.0053211255,0.01953125,0.4428711,0.0,0.8959961
17/07/11 05:07:01:856,132,-0.7561035,0.030517578,0.58154297,-0.03511943,-0.04576168,0.0063853506,0.018554688,0.4428711,-4.8828125E-4,0.8959961
17/07/11 05:07:01:861,137,-0.7561035,0.030517578,0.58154297,-0.03511943,-0.04576168,0.0063853506,0.018554688,0.4428711,-4.8828125E-4,0.8959961
17/07/11 05:07:01:866,142,-0.7561035,0.030517578,0.58154297,-0.03511943,-0.04576168,0.0063853506,0.018554688,0.4428711,-4.8828125E-4,0.8959961
17/07/11 05:07:01:872,148,-0.7561035,0.030517578,0.58154297,-0.03511943,-0.04576168,0.0063853506,0.018554688,0.4428711,-4.8828125E-4,0.8959961
17/07/11 05:07:01:877,153,-0.7561035,0.030517578,0.58154297,-0.03511943,-0.04576168,0.0063853506,0.018554688,0.4428711,-4.8828125E-4,0.8959961
17/07/11 05:07:01:883,159,-0.7561035,0.030517578,0.58154297,-0.03511943,-0.04576168,0.0063853506,0.018554688,0.4428711,-4.8828125E-4,0.8959961
17/07/11 05:07:01:888,164,-0.7561035,0.030517578,0.58154297,-0.03511943,-0.04576168,0.0063853506,0.018554688,0.4428711,-4.8828125E-4,0.8959961
17/07/11 05:07:01:893,169,-0.7561035,0.030517578,0.58154297,-0.03511943,-0.04576168,0.0063853506,0.018554688,0.4428711,-4.8828125E-4,0.8959961
17/07/11 05:07:01:898,174,-0.7561035,0.030517578,0.58154297,-0.03511943,-0.04576168,0.0063853506,0.018554688,0.4428711,-4.8828125E-4,0.8959961
17/07/11 05:07:01:906,182,-0.7565918,0.033203125,0.57910156,-0.03511943,-0.046825904,0.0053211255,0.018554688,0.4423828,0.0,0.8964844
17/07/11 05:07:01:914,190,-0.7585449,0.034423828,0.5751953,-0.03511943,-0.046825904,0.0063853506,0.01953125,0.4423828,0.0,0.8964844
17/07/11 05:07:01:926,202,-0.76049805,0.032470703,0.5751953,-0.03511943,-0.04576168,0.0074495757,0.01953125,0.4428711,0.0,0.8959961
17/07/11 05:07:01:955,231,-0.7541504,0.028076172,0.5793457,-0.03511943,-0.04576168,0.0074495757,0.01953125,0.4428711,0.0,0.8959961
17/07/11 05:07:01:960,236,-0.7536621,0.033447266,0.578125,-0.03511943,-0.04576168,0.0063853506,0.01953125,0.44335938,0.0,0.8959961
17/07/11 05:07:01:965,241,-0.7536621,0.033447266,0.578125,-0.03511943,-0.04576168,0.0063853506,0.01953125,0.44335938,0.0,0.8959961
17/07/11 05:07:01:970,246,-0.75805664,0.033935547,0.57543945,-0.036183655,-0.04576168,0.0063853506,0.01953125,0.4428711,0.0,0.8959961
17/07/11 05:07:01:975,251,-0.75805664,0.033935547,0.57543945,-0.036183655,-0.04576168,0.0063853506,0.01953125,0.4428711,0.0,0.8959961
17/07/11 05:07:01:981,257,-0.75561523,0.03491211,0.576416,-0.03511943,-0.044697456,0.0063853506,0.01953125,0.44335938,0.0,0.8959961
17/07/11 05:07:01:986,262,-0.75561523,0.03491211,0.576416,-0.03511943,-0.044697456,0.0063853506,0.01953125,0.44335938,0.0,0.8959961
17/07/11 05:07:01:991,267,-0.75561523,0.03491211,0.576416,-0.03511943,-0.044697456,0.0063853506,0.01953125,0.44335938,0.0,0.8959961
17/07/11 05:07:01:996,272,-0.75561523,0.03491211,0.576416,-0.03511943,-0.044697456,0.0063853506,0.01953125,0.44335938,0.0,0.8959961
17/07/11 05:07:02:001,277,-0.75561523,0.03491211,0.576416,-0.03511943,-0.044697456,0.0063853506,0.01953125,0.44335938,0.0,0.8959961
17/07/11 05:07:02:026,302,-0.75561523,0.03491211,0.576416,-0.03511943,-0.044697456,0.0063853506,0.01953125,0.44335938,0.0,0.8959961
17/07/11 05:07:02:031,307,-0.75561523,0.03491211,0.576416,-0.03511943,-0.044697456,0.0063853506,0.01953125,0.44335938,0.0,0.8959961
17/07/11 05:07:02:036,312,-0.75561523,0.03491211,0.576416,-0.03511943,-0.044697456,0.0063853506,0.01953125,0.44335938,0.0,0.8959961
17/07/11 05:07:02:042,318,-0.76220703,0.031982422,0.5756836,-0.03511943,-0.04576168,0.0074495757,0.020019531,0.4428711,0.0,0.8959961
17/07/11 05:07:02:048,324,-0.76220703,0.031982422,0.5756836,-0.03511943,-0.04576168,0.0074495757,0.020019531,0.4428711,0.0,0.8959961
17/07/11 05:07:02:054,330,-0.76220703,0.031982422,0.5756836,-0.03511943,-0.04576168,0.0074495757,0.020019531,0.4428711,0.0,0.8959961
17/07/11 05:07:02:059,335,-0.76220703,0.031982422,0.5756836,-0.03511943,-0.04576168,0.0074495757,0.020019531,0.4428711,0.0,0.8959961
17/07/11 05:07:02:065,341,-0.76220703,0.031982422,0.5756836,-0.03511943,-0.04576168,0.0074495757,0.020019531,0.4428711,0.0,0.8959961
17/07/11 05:07:02:071,347,-0.76220703,0.031982422,0.5756836,-0.03511943,-0.04576168,0.0074495757,0.020019531,0.4428711,0.0,0.8959961
17/07/11 05:07:02:076,352,-0.76220703,0.031982422,0.5756836,-0.03511943,-0.04576168,0.0074495757,0.020019531,0.4428711,0.0,0.8959961
