Trial03
Date:,2017/07/11
Time:,16:59:08
Type:,
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,A,,,B,,,C
Field #,X,Y,Z,X,Y,Z,X,Y,Z
581,-359.256195,303.491821,977.023132,-353.361847,202.313370,974.445190,-284.862976,257.217529,983.123413
582,-359.473602,303.475189,976.857239,-353.569702,202.297028,974.281433,-285.102386,257.206238,983.213440
583,-359.688110,303.459167,976.691772,-353.775177,202.280899,974.118469,-285.339478,257.194275,983.301453
584,-359.900208,303.444092,976.526184,-353.978668,202.264938,973.955994,-285.574707,257.181763,983.387817
585,-360.110474,303.430389,976.359741,-354.180634,202.249146,973.793640,-285.808777,257.168762,983.472717
586,-360.319550,303.418365,976.191772,-354.381622,202.233521,973.631165,-286.042511,257.155518,983.556458
587,-360.528137,303.408295,976.021729,-354.582214,202.218170,973.468018,-286.276764,257.142242,983.639343
588,-360.736877,303.400177,975.849121,-354.782959,202.203232,973.303772,-286.512360,257.129242,983.721741
589,-360.946472,303.393982,975.673706,-354.984406,202.188812,973.137817,-286.750092,257.116760,983.803833
590,-361.157410,303.389313,975.495300,-355.186981,202.174957,972.969543,-286.990570,257.104858,983.885864
591,-361.370148,303.385742,975.313782,-355.391052,202.161667,972.798462,-287.234344,257.093597,983.967957
592,-361.584839,303.382721,975.129150,-355.596985,202.148849,972.624023,-287.481720,257.082825,984.050171
593,-361.801575,303.379700,974.941406,-355.805023,202.136398,972.445862,-287.732910,257.072266,984.132507
594,-362.020294,303.376129,974.750549,-356.015411,202.124237,972.263489,-287.988098,257.061584,984.215027
595,-362.240906,303.371613,974.556641,-356.228241,202.112320,972.076477,-288.247314,257.050446,984.297729
596,-362.463318,303.365814,974.359802,-356.443542,202.100677,971.884521,-288.510620,257.038574,984.380554
597,-362.687378,303.358643,974.160217,-356.661224,202.089401,971.687439,-288.778076,257.025848,984.463501
598,-362.913055,303.350159,973.957947,-356.881012,202.078629,971.485229,-289.049500,257.012054,984.546631
599,-363.140137,303.340607,973.753296,-357.102661,202.068558,971.278015,-289.324707,256.997223,984.629883
600,-363.368469,303.330261,973.546265,-357.325897,202.059280,971.065918,-289.603394,256.981384,984.713135
601,-363.597778,303.319366,973.337158,-357.550354,202.050827,970.849426,-289.885101,256.964569,984.796204
602,-363.827881,303.308289,973.126221,-357.775787,202.043091,970.629028,-290.169495,256.946869,984.879028
603,-364.058563,303.297272,972.913574,-358.001923,202.035965,970.405212,-290.456116,256.928406,984.961304
604,-364.289612,303.286621,972.699463,-358.228546,202.029388,970.178467,-290.744690,256.909393,985.042908
605,-364.520966,303.276520,972.484070,-358.455322,202.023422,969.949036,-291.035004,256.890137,985.123718
606,-364.752533,303.267212,972.267578,-358.682098,202.018188,969.717224,-291.326782,256.870941,985.203491
607,-364.984161,303.258759,972.050171,-358.908569,202.013794,969.483154,-291.619812,256.852051,985.282043
608,-365.215790,303.251099,971.831848,-359.134552,202.010437,969.246765,-291.913727,256.833527,985.359131
609,-365.447296,303.244110,971.612732,-359.359833,202.008240,969.008179,-292.208252,256.815247,985.434448
610,-365.678436,303.237366,971.392822,-359.584320,202.007294,968.767212,-292.503052,256.796997,985.507874
611,-365.909027,303.230499,971.171997,-359.807922,202.007645,968.523926,-292.798035,256.778717,985.579407
612,-366.138947,303.223145,970.950256,-360.030640,202.009384,968.278198,-293.093201,256.760345,985.648987
613,-366.368256,303.215149,970.727478,-360.252533,202.012589,968.030151,-293.388641,256.741913,985.716858
614,-366.597076,303.206421,970.503479,-360.473602,202.017365,967.779724,-293.684601,256.723389,985.783142
615,-366.825562,303.196838,970.278320,-360.693909,202.023727,967.527039,-293.981293,256.704895,985.848145
616,-367.053864,303.186401,970.051819,-360.913605,202.031647,967.272278,-294.278961,256.686371,985.911987
617,-367.282104,303.175171,969.824097,-361.132813,202.041000,967.015747,-294.577789,256.667908,985.974854
618,-367.510193,303.163269,969.595215,-361.351715,202.051544,966.757996,-294.877747,256.649536,986.036743
619,-367.737946,303.150940,969.365234,-361.570374,202.062790,966.499817,-295.178619,256.631500,986.097595
620,-367.965179,303.138489,969.134460,-361.788727,202.074066,966.242310,-295.480011,256.613922,986.157349
621,-368.191559,303.126129,968.903259,-362.006683,202.084534,965.986938,-295.781342,256.596985,986.215942
622,-368.416748,303.114105,968.672058,-362.223969,202.093323,965.734924,-296.082062,256.580536,986.273315
623,-368.640381,303.102325,968.441223,-362.440186,202.099579,965.487427,-296.381622,256.564362,986.329651
624,-368.862061,303.090729,968.211182,-362.655060,202.102448,965.245544,-296.679626,256.548035,986.384949
625,-369.081451,303.079010,967.982300,-362.868225,202.101318,965.009766,-296.975891,256.531372,986.439331
626,-369.298309,303.067017,967.754456,-363.079437,202.095840,964.780212,-297.270294,256.514160,986.492920
627,-369.512543,303.054810,967.527588,-363.288544,202.085861,964.556641,-297.562866,256.496429,986.545654
628,-369.724121,303.042511,967.301147,-363.495514,202.071533,964.338318,-297.853729,256.478210,986.597717
629,-369.933228,303.030426,967.074524,-363.700348,202.053177,964.124084,-298.143097,256.459595,986.648987
630,-370.140045,303.018890,966.846924,-363.903046,202.031342,963.912537,-298.431488,256.440582,986.699402
631,-370.344788,303.008301,966.617249,-364.103668,202.006729,963.702209,-298.719574,256.421173,986.749084
632,-370.547607,302.999115,966.384399,-364.302277,201.980042,963.491394,-299.008087,256.401337,986.797913
633,-370.748627,302.991821,966.147217,-364.498932,201.951904,963.278625,-299.297882,256.381012,986.845947
634,-370.948059,302.986664,965.904785,-364.693787,201.922882,963.062439,-299.589600,256.360352,986.893311
635,-371.145966,302.983917,965.656250,-364.886902,201.893387,962.841614,-299.883728,256.339447,986.939819
636,-371.342621,302.983582,965.401184,-365.078308,201.863800,962.615234,-300.180450,256.318420,986.985535
637,-371.538208,302.985443,965.139465,-365.268005,201.834412,962.382507,-300.479706,256.297333,987.030334
638,-371.732849,302.989227,964.871338,-365.455872,201.805542,962.142944,-300.781403,256.276062,987.074158
639,-371.926544,302.994537,964.597290,-365.641785,201.777634,961.896423,-301.085266,256.254547,987.116821
640,-372.119202,303.000916,964.318054,-365.825592,201.751221,961.643005,-301.390961,256.232666,987.158142
641,-372.310608,303.007721,964.034485,-366.007202,201.726929,961.382996,-301.697968,256.210571,987.197937
642,-372.500610,303.014313,963.747742,-366.186584,201.705322,961.117188,-302.005615,256.188385,987.235840
643,-372.689148,303.019928,963.459229,-366.363800,201.686722,960.846619,-302.313263,256.166473,987.271545
644,-372.876251,303.024200,963.170227,-366.538971,201.671326,960.572449,-302.620331,256.144989,987.304993
645,-373.061829,303.026855,962.881836,-366.712219,201.659134,960.295898,-302.926392,256.124115,987.335999
