Trial04
Date:,2017/07/11
Time:,17:03:46
Type:,
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,A,,,B,,,C
Field #,X,Y,Z,X,Y,Z,X,Y,Z
881,-351.763794,304.086517,982.153992,-346.385559,202.959671,979.574768,-277.221191,257.532379,979.650635
882,-351.761902,304.087311,982.153137,-346.382324,202.959579,979.573242,-277.218964,257.531677,979.651062
883,-351.760071,304.087433,982.152100,-346.378357,202.958893,979.571716,-277.216553,257.530792,979.651489
884,-351.758423,304.086670,982.150879,-346.373749,202.957458,979.570190,-277.213989,257.529663,979.651917
885,-351.757111,304.084869,982.149536,-346.368530,202.955170,979.568726,-277.211426,257.528351,979.652283
886,-351.756287,304.081909,982.148132,-346.362885,202.951920,979.567261,-277.208984,257.526764,979.652649
887,-351.756073,304.077667,982.146729,-346.356934,202.947571,979.565857,-277.206726,257.524933,979.653015
888,-351.756622,304.071960,982.145386,-346.350739,202.941986,979.564514,-277.204681,257.522705,979.653442
889,-351.757904,304.064636,982.144165,-346.344360,202.934967,979.563293,-277.202789,257.520081,979.653870
890,-351.759918,304.055573,982.143066,-346.337677,202.926407,979.562317,-277.200958,257.516937,979.654297
891,-351.762543,304.044830,982.142273,-346.330658,202.916336,979.561523,-277.199097,257.513275,979.654785
892,-351.765594,304.032471,982.141602,-346.323151,202.904907,979.561035,-277.197083,257.509033,979.655273
893,-351.768829,304.018768,982.141174,-346.315186,202.892380,979.560791,-277.194824,257.504242,979.655701
894,-351.771881,304.004242,982.140930,-346.306854,202.879166,979.560791,-277.192261,257.498932,979.656067
895,-351.774475,303.989502,982.140869,-346.298492,202.865784,979.561035,-277.189423,257.493256,979.656372
896,-351.776276,303.975372,982.140930,-346.290466,202.852859,979.561462,-277.186371,257.487396,979.656494
897,-351.777039,303.962769,982.141113,-346.283386,202.841171,979.562134,-277.183197,257.481659,979.656555
898,-351.776398,303.952728,982.141357,-346.277771,202.831604,979.563049,-277.180084,257.476318,979.656372
899,-351.774170,303.946136,982.141724,-346.274139,202.825012,979.564148,-277.177094,257.471710,979.655945
900,-351.770050,303.943848,982.142151,-346.272858,202.822189,979.565369,-277.174286,257.468140,979.655334
901,-351.763885,303.946472,982.142700,-346.274078,202.823730,979.566650,-277.171631,257.465851,979.654480
902,-351.755676,303.954224,982.143372,-346.277832,202.829956,979.567993,-277.169098,257.465088,979.653503
903,-351.745544,303.967102,982.144104,-346.284027,202.840866,979.569275,-277.166687,257.465973,979.652405
904,-351.733978,303.984650,982.144958,-346.292450,202.856125,979.570496,-277.164429,257.468567,979.651184
905,-351.721466,304.006134,982.145874,-346.302704,202.875031,979.571594,-277.162415,257.472839,979.649963
906,-351.708801,304.030579,982.146790,-346.314453,202.896683,979.572571,-277.160889,257.478546,979.648682
907,-351.696686,304.056824,982.147766,-346.327454,202.920044,979.573364,-277.160065,257.485504,979.647400
908,-351.685913,304.083771,982.148682,-346.341431,202.944077,979.573975,-277.160248,257.493378,979.646057
909,-351.677216,304.110352,982.149414,-346.356384,202.967819,979.574219,-277.161774,257.501831,979.644714
910,-351.671326,304.135651,982.149902,-346.372284,202.990433,979.574036,-277.165009,257.510590,979.643494
911,-351.668915,304.158875,982.149719,-346.389221,203.011200,979.573120,-277.170380,257.519257,979.642639
912,-351.670624,304.179413,982.148560,-346.407440,203.029587,979.571106,-277.178375,257.527588,979.642334
913,-351.677185,304.196686,982.145935,-346.427246,203.045120,979.567566,-277.189545,257.535248,979.643005
914,-351.689301,304.210358,982.141235,-346.449219,203.057465,979.561890,-277.204620,257.541992,979.645203
