Trial09
Date:,2017/07/11
Time:,17:10:36
Type:,
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,A,,,B,,,C
Field #,X,Y,Z,X,Y,Z,X,Y,Z
821,-390.753998,306.456360,929.948608,-379.648499,205.527710,926.030701,-340.166779,258.777802,983.647827
822,-390.751556,306.457764,929.953674,-379.639557,205.524887,926.033203,-340.164124,258.780029,983.649414
823,-390.749084,306.459229,929.958923,-379.629883,205.521820,926.035706,-340.161346,258.782318,983.651001
824,-390.746643,306.460632,929.964233,-379.619781,205.518616,926.038147,-340.158508,258.784607,983.652466
825,-390.744293,306.461914,929.969421,-379.609711,205.515411,926.040344,-340.155731,258.786713,983.653809
826,-390.742096,306.463013,929.974182,-379.600220,205.512360,926.042114,-340.153076,258.788635,983.654846
827,-390.740143,306.463898,929.978271,-379.591766,205.509628,926.043396,-340.150726,258.790253,983.655457
828,-390.738495,306.464539,929.981567,-379.584900,205.507446,926.044067,-340.148804,258.791595,983.655579
829,-390.737244,306.464935,929.983765,-379.580048,205.506027,926.044067,-340.147491,258.792664,983.655151
830,-390.736481,306.465210,929.984802,-379.577545,205.505600,926.043335,-340.146973,258.793549,983.654114
831,-390.736298,306.465393,929.984558,-379.577545,205.506256,926.041931,-340.147461,258.794220,983.652405
832,-390.736725,306.465576,929.983093,-379.580078,205.508026,926.039795,-340.149017,258.794739,983.650146
833,-390.737823,306.465698,929.980469,-379.584961,205.510757,926.037048,-340.151703,258.794922,983.647278
834,-390.739685,306.465729,929.976990,-379.591919,205.514175,926.033813,-340.155640,258.794739,983.643982
835,-390.742462,306.465485,929.972961,-379.600586,205.517883,926.030212,-340.160767,258.794037,983.640442
836,-390.746338,306.464844,929.968689,-379.610687,205.521454,926.026306,-340.167114,258.792664,983.636719
837,-390.751587,306.463715,929.964600,-379.621826,205.524475,926.022278,-340.174713,258.790558,983.633057
838,-390.758545,306.462097,929.960938,-379.633820,205.526672,926.018433,-340.183533,258.787598,983.629578
839,-390.767578,306.460052,929.958069,-379.646484,205.527847,926.014832,-340.193573,258.783844,983.626343
840,-390.779175,306.457764,929.956238,-379.659851,205.527969,926.011719,-340.204712,258.779297,983.623474
841,-390.793793,306.455353,929.955627,-379.673828,205.527084,926.009277,-340.216919,258.773987,983.620972
842,-390.811920,306.453003,929.956299,-379.688416,205.525330,926.007568,-340.230072,258.767975,983.618835
843,-390.834106,306.450806,929.958374,-379.703552,205.522919,926.006653,-340.244019,258.761414,983.617004
844,-390.860840,306.448822,929.961731,-379.719086,205.520081,926.006592,-340.258606,258.754395,983.615417
845,-390.892609,306.447174,929.966125,-379.734833,205.517014,926.007202,-340.273560,258.747131,983.613953
846,-390.929840,306.445984,929.971436,-379.750610,205.513947,926.008362,-340.288635,258.739807,983.612610
847,-390.972992,306.445404,929.977539,-379.766144,205.511169,926.010010,-340.303467,258.732635,983.611206
848,-391.022369,306.445526,929.984192,-379.781219,205.509018,926.011963,-340.317749,258.725891,983.609802
849,-391.078217,306.446533,929.991150,-379.795593,205.507965,926.013977,-340.331177,258.720001,983.608337
850,-391.140442,306.448639,929.998230,-379.809143,205.508545,926.015869,-340.343323,258.715424,983.606812
851,-391.208618,306.452118,930.005188,-379.821686,205.511459,926.017517,-340.353851,258.712860,983.605286
852,-391.281708,306.457520,930.011658,-379.833099,205.517487,926.018799,-340.362396,258.713013,983.603882
853,-391.357971,306.465424,930.017273,-379.843292,205.527573,926.019531,-340.368561,258.716766,983.602722
854,-391.434723,306.476318,930.021667,-379.852051,205.542648,926.019897,-340.372070,258.725037,983.601868
855,-391.508179,306.490845,930.024597,-379.859039,205.563583,926.019836,-340.372620,258.738708,983.601440
856,-391.573639,306.509430,930.025757,-379.863800,205.591095,926.019653,-340.369781,258.758545,983.601685
857,-391.626373,306.532623,930.025146,-379.865814,205.625732,926.019470,-340.363251,258.785156,983.602783
858,-391.662201,306.561157,930.023132,-379.864655,205.667877,926.019592,-340.352783,258.818878,983.604858
859,-391.678009,306.595764,930.020142,-379.860107,205.717819,926.020325,-340.338348,258.859955,983.607971
860,-391.671631,306.637390,930.017029,-379.852112,205.775635,926.022034,-340.320007,258.908295,983.612244
861,-391.642090,306.686951,930.014771,-379.840729,205.841110,926.025024,-340.298035,258.963623,983.617737
862,-391.589722,306.744934,930.014282,-379.826080,205.913589,926.029541,-340.272888,259.025330,983.624329
863,-391.516388,306.811157,930.016052,-379.808380,205.991837,926.035889,-340.245087,259.092316,983.631836
864,-391.425690,306.884277,930.020386,-379.787994,206.073975,926.044006,-340.215363,259.163055,983.640076
865,-391.322906,306.961884,930.026978,-379.765381,206.157516,926.053894,-340.184570,259.235504,983.648743
866,-391.214600,307.040558,930.035217,-379.741089,206.239563,926.065247,-340.153564,259.307343,983.657654
867,-391.107117,307.116425,930.044189,-379.715607,206.316940,926.077515,-340.123383,259.376038,983.666504
868,-391.005737,307.185699,930.052979,-379.689148,206.386536,926.090210,-340.095032,259.439392,983.674927
869,-390.914581,307.244965,930.060608,-379.661682,206.445572,926.102722,-340.069489,259.495728,983.682495
870,-390.836823,307.291321,930.066162,-379.632935,206.491837,926.114563,-340.047577,259.544037,983.688721
871,-390.774597,307.322815,930.068848,-379.602448,206.523804,926.125244,-340.029968,259.583893,983.693237
872,-390.729034,307.338318,930.067993,-379.569855,206.540787,926.134644,-340.016968,259.615356,983.695801
873,-390.700409,307.337616,930.063171,-379.534790,206.542892,926.142517,-340.008728,259.639008,983.696350
874,-390.688019,307.321533,930.054077,-379.497070,206.531036,926.148743,-340.004974,259.655670,983.694885
875,-390.690338,307.291534,930.040710,-379.456818,206.506836,926.153259,-340.005341,259.666504,983.691467
876,-390.705322,307.249847,930.023071,-379.414429,206.472473,926.155884,-340.009308,259.672668,983.686279
877,-390.730499,307.199127,930.001587,-379.370514,206.430466,926.156433,-340.016235,259.675201,983.679504
878,-390.763214,307.142120,929.976746,-379.326050,206.383423,926.154785,-340.025543,259.674957,983.671509
879,-390.800781,307.081726,929.949158,-379.282074,206.333878,926.150635,-340.036743,259.672516,983.662537
880,-390.840729,307.020508,929.919678,-379.239746,206.284103,926.143860,-340.049408,259.668274,983.652893
881,-390.881104,306.960693,929.889160,-379.200134,206.235931,926.134521,-340.063263,259.662415,983.643005
882,-390.920380,306.903870,929.858459,-379.164124,206.190689,926.122620,-340.078033,259.654999,983.633179
883,-390.957550,306.851044,929.828674,-379.132172,206.149170,926.108582,-340.093384,259.645813,983.623840
884,-390.991852,306.802673,929.800964,-379.104462,206.111542,926.093140,-340.108734,259.634674,983.615417
885,-391.022766,306.758636,929.776611,-379.080658,206.077576,926.077026,-340.123260,259.621307,983.608276
886,-391.049866,306.718384,929.757080,-379.060211,206.046616,926.061584,-340.135864,259.605499,983.602844
887,-391.072723,306.681335,929.744202,-379.042206,206.017883,926.048340,-340.145020,259.587158,983.599670
888,-391.091064,306.646667,929.739990,-379.025665,205.990509,926.039307,-340.148895,259.566040,983.599365
889,-391.104492,306.613678,929.746887,-379.009491,205.963654,926.036926,-340.145172,259.542053,983.602661
890,-391.112701,306.581757,929.767639,-378.992554,205.936646,926.044006,-340.131226,259.515137,983.610474
891,-391.115326,306.550537,929.805481,-378.973755,205.909012,926.063965,-340.104095,259.485626,983.623657
892,-391.112000,306.520081,929.863831,-378.952209,205.880615,926.100525,-340.060394,259.454163,983.643250
893,-391.102386,306.490784,929.946228,-378.927216,205.851685,926.157837,-339.996613,259.421783,983.670227
894,-391.085938,306.463593,930.056274,-378.898407,205.822845,926.240112,-339.909027,259.389862,983.705750
895,-391.062012,306.439819,930.197266,-378.865723,205.795044,926.351746,-339.793915,259.360199,983.750671
896,-391.029846,306.421021,930.372070,-378.829315,205.769424,926.496765,-339.647858,259.334717,983.805969
897,-390.988678,306.408600,930.583313,-378.789551,205.747116,926.678894,-339.467651,259.315155,983.872498
898,-390.937805,306.403687,930.833374,-378.746613,205.728958,926.901184,-339.250610,259.303070,983.950867
899,-390.876709,306.406586,931.124329,-378.700562,205.715256,927.166199,-338.994537,259.299591,984.041748
900,-390.805023,306.416962,931.457703,-378.650970,205.705856,927.475647,-338.697998,259.305511,984.145447
901,-390.722656,306.433899,931.834534,-378.597137,205.700180,927.830505,-338.360413,259.321228,984.262024
902,-390.629639,306.456116,932.255127,-378.538055,205.697464,928.230713,-337.982056,259.346619,984.391174
903,-390.526123,306.482086,932.718689,-378.472626,205.696854,928.675476,-337.564026,259.381226,984.532532
904,-390.412445,306.510345,933.223572,-378.399750,205.697418,929.162964,-337.108185,259.424438,984.685181
905,-390.289124,306.539642,933.766968,-378.318268,205.698196,929.690491,-336.617096,259.475555,984.848145
906,-390.156891,306.568909,934.345093,-378.227112,205.698196,930.254456,-336.094147,259.533691,985.020203
907,-390.016693,306.597198,934.953430,-378.125275,205.696411,930.850586,-335.543579,259.597931,985.199768
908,-389.869537,306.623718,935.586670,-378.011963,205.691910,931.473755,-334.970276,259.667450,985.384949
909,-389.716461,306.647491,936.238953,-377.886688,205.683838,932.118591,-334.379669,259.741638,985.573669
910,-389.558289,306.667511,936.904175,-377.749146,205.671387,932.779236,-333.777466,259.819885,985.763550
911,-389.396088,306.682739,937.576233,-377.599396,205.653763,933.449890,-333.169403,259.901581,985.952332
912,-389.230896,306.691986,938.249268,-377.437866,205.630310,934.124756,-332.560760,259.985840,986.137573
913,-389.064026,306.694214,938.917786,-377.265289,205.600540,934.798401,-331.956360,260.071442,986.317139
914,-388.897003,306.688568,939.577026,-377.082703,205.564133,935.465820,-331.360229,260.156830,986.488831
915,-388.731476,306.674652,940.222717,-376.891144,205.520950,936.122498,-330.775360,260.240417,986.650757
916,-388.569458,306.652466,940.851624,-376.691772,205.471039,936.764648,-330.203735,260.320862,986.801880
917,-388.413086,306.622314,941.461182,-376.485657,205.414703,937.389160,-329.646484,260.397461,986.941956
918,-388.264679,306.584869,942.049866,-376.273895,205.352493,937.993591,-329.104431,260.469971,987.071167
919,-388.126556,306.540955,942.616272,-376.057770,205.285172,938.576233,-328.578369,260.538605,987.190308
920,-388.000732,306.491241,943.159485,-375.838623,205.213593,939.135742,-328.069092,260.603516,987.300110
921,-387.889069,306.435913,943.678528,-375.617767,205.138535,939.671448,-327.577545,260.665070,987.401306
922,-387.793396,306.374512,944.172424,-375.396423,205.060425,940.182556,-327.104767,260.723450,987.494690
923,-387.715698,306.305511,944.640503,-375.175446,204.979156,940.668518,-326.651947,260.778656,987.580750
924,-387.657928,306.226349,945.082153,-374.955322,204.894104,941.129028,-326.220367,260.830536,987.660156
925,-387.621918,306.133759,945.496521,-374.736145,204.804108,941.563660,-325.811127,260.878693,987.733093
926,-387.609039,306.023895,945.882385,-374.517792,204.707687,941.972351,-325.425201,260.922791,987.800049
927,-387.619965,305.892822,946.238342,-374.299805,204.603119,942.355042,-325.063507,260.962250,987.861145
928,-387.654724,305.737213,946.563538,-374.081604,204.488632,942.711670,-324.726715,260.996460,987.916748
929,-387.712555,305.554749,946.857910,-373.862396,204.362534,943.042358,-324.415466,261.024597,987.967224
930,-387.792389,305.343903,947.122009,-373.641357,204.223190,943.347351,-324.129944,261.045990,988.012756
931,-387.893066,305.103485,947.357239,-373.417389,204.069077,943.626892,-323.870087,261.059998,988.053589
932,-388.013611,304.832428,947.565063,-373.189209,203.898605,943.881287,-323.635437,261.066284,988.089966
933,-388.153442,304.529510,947.747253,-372.955078,203.710022,944.110840,-323.425140,261.064606,988.122070
934,-388.312103,304.193390,947.905823,-372.712830,203.501297,944.315796,-323.238007,261.054901,988.150208
935,-388.489380,303.822479,948.042969,-372.459503,203.269882,944.496216,-323.072510,261.037140,988.174744
936,-388.685089,303.415039,948.161560,-372.190948,203.012772,944.652466,-322.926636,261.011597,988.196045
937,-388.898895,302.969391,948.264465,-371.901855,202.726898,944.785950,-322.797974,260.978668,988.214478
938,-389.130249,302.484161,948.355103,-371.586395,202.409836,944.899292,-322.683838,260.938965,988.230652
939,-389.378265,301.958557,948.436951,-371.239044,202.060226,944.996399,-322.581177,260.893311,988.244934
940,-389.641632,301.392517,948.513489,-370.855499,201.677933,945.081665,-322.486755,260.842712,988.257751
941,-389.918549,300.787048,948.588135,-370.432831,201.263947,945.159851,-322.397247,260.788239,988.269531
942,-390.206757,300.144196,948.664001,-369.969604,200.820267,945.235352,-322.309235,260.731171,988.280579
