global time,time(in ms),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,QuatX,QuatY,QuatZ,QuatW
17/07/17 01:28:50:830,167,0.9165039,-0.1496582,-0.31176758,-0.034055203,-0.0074495757,-0.0042569004,-0.12939453,-0.80029297,-0.0024414063,0.5854492
17/07/17 01:28:50:835,172,0.9165039,-0.1496582,-0.31176758,-0.034055203,-0.0074495757,-0.0042569004,-0.12939453,-0.80029297,-0.0024414063,0.5854492
17/07/17 01:28:50:840,177,0.9165039,-0.1496582,-0.31176758,-0.034055203,-0.0074495757,-0.0042569004,-0.12939453,-0.80029297,-0.0024414063,0.5854492
17/07/17 01:28:50:845,182,0.9165039,-0.1496582,-0.31176758,-0.034055203,-0.0074495757,-0.0042569004,-0.12939453,-0.80029297,-0.0024414063,0.5854492
17/07/17 01:28:50:850,187,0.9165039,-0.1496582,-0.31176758,-0.034055203,-0.0074495757,-0.0042569004,-0.12939453,-0.80029297,-0.0024414063,0.5854492
17/07/17 01:28:50:856,193,0.9165039,-0.1496582,-0.31176758,-0.034055203,-0.0074495757,-0.0042569004,-0.12939453,-0.80029297,-0.0024414063,0.5854492
17/07/17 01:28:50:861,198,0.9165039,-0.1496582,-0.31176758,-0.034055203,-0.0074495757,-0.0042569004,-0.12939453,-0.80029297,-0.0024414063,0.5854492
17/07/17 01:28:50:866,203,0.9165039,-0.1496582,-0.31176758,-0.034055203,-0.0074495757,-0.0042569004,-0.12939453,-0.80029297,-0.0024414063,0.5854492
17/07/17 01:28:50:871,208,0.9165039,-0.1496582,-0.31176758,-0.034055203,-0.0074495757,-0.0042569004,-0.12939453,-0.80029297,-0.0024414063,0.5854492
17/07/17 01:28:50:876,213,0.9165039,-0.1496582,-0.31176758,-0.034055203,-0.0074495757,-0.0042569004,-0.12939453,-0.80029297,-0.0024414063,0.5854492
17/07/17 01:28:50:881,218,0.9165039,-0.1496582,-0.31176758,-0.034055203,-0.0074495757,-0.0042569004,-0.12939453,-0.80029297,-0.0024414063,0.5854492
17/07/17 01:28:50:886,223,0.9165039,-0.1496582,-0.31176758,-0.034055203,-0.0074495757,-0.0042569004,-0.12939453,-0.80029297,-0.0024414063,0.5854492
17/07/17 01:28:50:891,228,0.9165039,-0.1496582,-0.31176758,-0.034055203,-0.0074495757,-0.0042569004,-0.12939453,-0.80029297,-0.0024414063,0.5854492
17/07/17 01:28:50:896,233,0.9165039,-0.1496582,-0.31176758,-0.034055203,-0.0074495757,-0.0042569004,-0.12939453,-0.80029297,-0.0024414063,0.5854492
17/07/17 01:28:50:901,238,0.9165039,-0.1496582,-0.31176758,-0.034055203,-0.0074495757,-0.0042569004,-0.12939453,-0.80029297,-0.0024414063,0.5854492
17/07/17 01:28:50:907,244,0.9165039,-0.1496582,-0.31176758,-0.034055203,-0.0074495757,-0.0042569004,-0.12939453,-0.80029297,-0.0024414063,0.5854492
17/07/17 01:28:50:912,249,0.9165039,-0.1496582,-0.31176758,-0.034055203,-0.0074495757,-0.0042569004,-0.12939453,-0.80029297,-0.0024414063,0.5854492
17/07/17 01:28:50:917,254,0.9165039,-0.1496582,-0.31176758,-0.034055203,-0.0074495757,-0.0042569004,-0.12939453,-0.80029297,-0.0024414063,0.5854492
17/07/17 01:28:50:922,259,0.9165039,-0.1496582,-0.31176758,-0.034055203,-0.0074495757,-0.0042569004,-0.12939453,-0.80029297,-0.0024414063,0.5854492
17/07/17 01:28:50:927,264,0.9165039,-0.1496582,-0.31176758,-0.034055203,-0.0074495757,-0.0042569004,-0.12939453,-0.80029297,-0.0024414063,0.5854492
17/07/17 01:28:50:932,269,0.9165039,-0.1496582,-0.31176758,-0.034055203,-0.0074495757,-0.0042569004,-0.12939453,-0.80029297,-0.0024414063,0.5854492
17/07/17 01:28:50:937,274,0.9165039,-0.1496582,-0.31176758,-0.034055203,-0.0074495757,-0.0042569004,-0.12939453,-0.80029297,-0.0024414063,0.5854492
17/07/17 01:28:50:942,279,0.9165039,-0.1496582,-0.31176758,-0.034055203,-0.0074495757,-0.0042569004,-0.12939453,-0.80029297,-0.0024414063,0.5854492
17/07/17 01:28:50:947,284,0.9145508,-0.14868164,-0.3149414,-0.034055203,-0.0063853506,-0.0010642251,-0.12988281,-0.80029297,-0.001953125,0.58496094
17/07/17 01:28:50:952,289,0.9145508,-0.14868164,-0.3149414,-0.034055203,-0.0063853506,-0.0010642251,-0.12988281,-0.80029297,-0.001953125,0.58496094
17/07/17 01:28:50:957,294,0.9145508,-0.14868164,-0.3149414,-0.034055203,-0.0063853506,-0.0010642251,-0.12988281,-0.80029297,-0.001953125,0.58496094
17/07/17 01:28:50:962,299,0.9145508,-0.14868164,-0.3149414,-0.034055203,-0.0063853506,-0.0010642251,-0.12988281,-0.80029297,-0.001953125,0.58496094
17/07/17 01:28:50:968,305,0.9145508,-0.14868164,-0.3149414,-0.034055203,-0.0063853506,-0.0010642251,-0.12988281,-0.80029297,-0.001953125,0.58496094
17/07/17 01:28:50:973,310,0.9145508,-0.14868164,-0.3149414,-0.034055203,-0.0063853506,-0.0010642251,-0.12988281,-0.80029297,-0.001953125,0.58496094
17/07/17 01:28:50:978,315,0.9226074,-0.13842773,-0.3010254,-0.071303084,-0.0031926753,0.0042569004,-0.12939453,-0.7993164,-0.001953125,0.5864258
17/07/17 01:28:50:983,320,0.9301758,-0.14428711,-0.32739258,-0.094716035,-0.008513801,0.0021284502,-0.12890625,-0.7998047,-0.0034179688,0.5859375
17/07/17 01:28:50:989,326,0.9301758,-0.14428711,-0.32739258,-0.094716035,-0.008513801,0.0021284502,-0.12890625,-0.7998047,-0.0034179688,0.5859375
17/07/17 01:28:50:994,331,0.9301758,-0.14428711,-0.32739258,-0.094716035,-0.008513801,0.0021284502,-0.12890625,-0.7998047,-0.0034179688,0.5859375
17/07/17 01:28:50:999,336,0.9301758,-0.14428711,-0.32739258,-0.094716035,-0.008513801,0.0021284502,-0.12890625,-0.7998047,-0.0034179688,0.5859375
17/07/17 01:28:51:004,341,0.9301758,-0.14428711,-0.32739258,-0.094716035,-0.008513801,0.0021284502,-0.12890625,-0.7998047,-0.0034179688,0.5859375
17/07/17 01:28:51:009,346,0.9301758,-0.14428711,-0.32739258,-0.094716035,-0.008513801,0.0021284502,-0.12890625,-0.7998047,-0.0034179688,0.5859375
17/07/17 01:28:51:014,351,0.9301758,-0.14428711,-0.32739258,-0.094716035,-0.008513801,0.0021284502,-0.12890625,-0.7998047,-0.0034179688,0.5859375
17/07/17 01:28:51:019,356,0.9301758,-0.14428711,-0.32739258,-0.094716035,-0.008513801,0.0021284502,-0.12890625,-0.7998047,-0.0034179688,0.5859375
17/07/17 01:28:51:024,361,0.9301758,-0.14428711,-0.32739258,-0.094716035,-0.008513801,0.0021284502,-0.12890625,-0.7998047,-0.0034179688,0.5859375
17/07/17 01:28:51:029,366,0.9301758,-0.14428711,-0.32739258,-0.094716035,-0.008513801,0.0021284502,-0.12890625,-0.7998047,-0.0034179688,0.5859375
17/07/17 01:28:51:035,372,0.93066406,-0.15136719,-0.32592773,-0.08407378,-0.009578026,-0.0,-0.12890625,-0.7998047,-0.0034179688,0.5859375
17/07/17 01:28:51:041,378,0.91845703,-0.14111328,-0.3005371,-0.046825904,-0.0010642251,0.0010642251,-0.12939453,-0.80126953,-0.00390625,0.5839844
17/07/17 01:28:51:046,383,0.91845703,-0.14111328,-0.3005371,-0.046825904,-0.0010642251,0.0010642251,-0.12939453,-0.80126953,-0.00390625,0.5839844
17/07/17 01:28:51:051,388,0.9223633,-0.14501953,-0.30151367,-0.05001858,0.0021284502,0.0021284502,-0.12939453,-0.80078125,-0.00390625,0.58447266
17/07/17 01:28:51:056,393,0.9223633,-0.14501953,-0.30151367,-0.05001858,0.0021284502,0.0021284502,-0.12939453,-0.80078125,-0.00390625,0.58447266
17/07/17 01:28:51:061,398,0.9248047,-0.15283203,-0.30639648,-0.05214703,0.0021284502,0.0010642251,-0.12939453,-0.80029297,-0.0034179688,0.58496094
17/07/17 01:28:51:066,403,0.9248047,-0.15283203,-0.30639648,-0.05214703,0.0021284502,0.0010642251,-0.12939453,-0.80029297,-0.0034179688,0.58496094
17/07/17 01:28:51:071,408,0.9226074,-0.15356445,-0.30737305,-0.046825904,0.0031926753,-0.0,-0.12988281,-0.80029297,-0.0029296875,0.58496094
17/07/17 01:28:51:077,414,0.9226074,-0.15356445,-0.30737305,-0.046825904,0.0031926753,-0.0,-0.12988281,-0.80029297,-0.0029296875,0.58496094
17/07/17 01:28:51:082,419,0.9226074,-0.15356445,-0.30737305,-0.046825904,0.0031926753,-0.0,-0.12988281,-0.80029297,-0.0029296875,0.58496094
17/07/17 01:28:51:087,424,0.9226074,-0.15356445,-0.30737305,-0.046825904,0.0031926753,-0.0,-0.12988281,-0.80029297,-0.0029296875,0.58496094
17/07/17 01:28:51:094,431,0.9226074,-0.15356445,-0.30737305,-0.046825904,0.0031926753,-0.0,-0.12988281,-0.80029297,-0.0029296875,0.58496094
17/07/17 01:28:51:098,435,0.9226074,-0.15356445,-0.30737305,-0.046825904,0.0031926753,-0.0,-0.12988281,-0.80029297,-0.0029296875,0.58496094
17/07/17 01:28:51:104,441,0.9226074,-0.15356445,-0.30737305,-0.046825904,0.0031926753,-0.0,-0.12988281,-0.80029297,-0.0029296875,0.58496094
17/07/17 01:28:51:109,446,0.9226074,-0.15356445,-0.30737305,-0.046825904,0.0031926753,-0.0,-0.12988281,-0.80029297,-0.0029296875,0.58496094
17/07/17 01:28:51:114,451,0.9226074,-0.15356445,-0.30737305,-0.046825904,0.0031926753,-0.0,-0.12988281,-0.80029297,-0.0029296875,0.58496094
17/07/17 01:28:51:120,457,0.9226074,-0.15356445,-0.30737305,-0.046825904,0.0031926753,-0.0,-0.12988281,-0.80029297,-0.0029296875,0.58496094
17/07/17 01:28:51:126,463,0.9289551,-0.13452148,-0.29638672,-0.038312104,0.0021284502,0.0031926753,-0.1303711,-0.7998047,-0.0024414063,0.5854492
17/07/17 01:28:51:131,468,0.9189453,-0.14746094,-0.30200195,-0.053211257,-0.0042569004,-0.012770701,-0.12890625,-0.7988281,-0.00390625,0.58740234
17/07/17 01:28:51:137,474,0.9189453,-0.14746094,-0.30200195,-0.053211257,-0.0042569004,-0.012770701,-0.12890625,-0.79833984,-0.00390625,0.5878906
17/07/17 01:28:51:142,479,0.91796875,-0.15283203,-0.3005371,-0.042569004,-0.0031926753,-0.012770701,-0.12939453,-0.79833984,-0.0029296875,0.5878906
17/07/17 01:28:51:147,484,0.91796875,-0.15283203,-0.3005371,-0.042569004,-0.0031926753,-0.012770701,-0.12939453,-0.79833984,-0.0029296875,0.5878906
17/07/17 01:28:51:152,489,0.91796875,-0.15283203,-0.3005371,-0.042569004,-0.0031926753,-0.012770701,-0.12939453,-0.79833984,-0.0029296875,0.5878906
17/07/17 01:28:51:157,494,0.9182129,-0.14794922,-0.30249023,-0.030862529,-0.0042569004,-0.010642251,-0.12988281,-0.79833984,-0.0024414063,0.5878906
17/07/17 01:28:51:162,499,0.9189453,-0.14111328,-0.3059082,-0.027669853,-0.0010642251,-0.011706476,-0.1303711,-0.79833984,-0.0014648438,0.58740234
17/07/17 01:28:51:167,504,0.9189453,-0.14111328,-0.3059082,-0.027669853,-0.0010642251,-0.011706476,-0.1303711,-0.79833984,-0.0014648438,0.58740234
17/07/17 01:28:51:172,509,0.9189453,-0.14111328,-0.3059082,-0.027669853,-0.0010642251,-0.011706476,-0.1303711,-0.79833984,-0.0014648438,0.58740234
17/07/17 01:28:51:178,515,0.9189453,-0.14111328,-0.3059082,-0.027669853,-0.0010642251,-0.011706476,-0.1303711,-0.79833984,-0.0014648438,0.58740234
17/07/17 01:28:51:184,521,0.9189453,-0.14111328,-0.3059082,-0.027669853,-0.0010642251,-0.011706476,-0.1303711,-0.79833984,-0.0014648438,0.58740234
17/07/17 01:28:51:190,527,0.9189453,-0.14111328,-0.3059082,-0.027669853,-0.0010642251,-0.011706476,-0.1303711,-0.79833984,-0.0014648438,0.58740234
17/07/17 01:28:51:195,532,0.9189453,-0.14111328,-0.3059082,-0.027669853,-0.0010642251,-0.011706476,-0.1303711,-0.79833984,-0.0014648438,0.58740234
17/07/17 01:28:51:201,538,0.9189453,-0.14111328,-0.3059082,-0.027669853,-0.0010642251,-0.011706476,-0.1303711,-0.79833984,-0.0014648438,0.58740234
17/07/17 01:28:51:205,542,0.9189453,-0.14111328,-0.3059082,-0.027669853,-0.0010642251,-0.011706476,-0.1303711,-0.79833984,-0.0014648438,0.58740234
17/07/17 01:28:51:210,547,0.9189453,-0.14111328,-0.3059082,-0.027669853,-0.0010642251,-0.011706476,-0.1303711,-0.79833984,-0.0014648438,0.58740234
17/07/17 01:28:51:215,552,0.91845703,-0.14428711,-0.30688477,-0.037247878,-0.0,-0.010642251,-0.12988281,-0.79833984,-0.001953125,0.58740234
17/07/17 01:28:51:220,557,0.9165039,-0.15063477,-0.31811523,-0.05001858,-0.0010642251,-0.011706476,-0.1303711,-0.7993164,-0.001953125,0.5864258
17/07/17 01:28:51:225,562,0.91845703,-0.13916016,-0.31225586,-0.06917463,0.0042569004,-0.011706476,-0.13085938,-0.80029297,-0.0014648438,0.58496094
17/07/17 01:28:51:230,567,0.9223633,-0.13842773,-0.3125,-0.07768843,0.0074495757,-0.010642251,-0.13085938,-0.80029297,-0.0014648438,0.58496094
17/07/17 01:28:51:236,573,0.9223633,-0.13842773,-0.3125,-0.07768843,0.0074495757,-0.010642251,-0.1303711,-0.80029297,-0.0024414063,0.58447266
17/07/17 01:28:51:241,578,0.9267578,-0.13623047,-0.3161621,-0.086202234,0.0074495757,-0.008513801,-0.1303711,-0.80078125,-0.0029296875,0.58447266
17/07/17 01:28:51:246,583,0.9267578,-0.13623047,-0.3161621,-0.086202234,0.0074495757,-0.008513801,-0.1303711,-0.80078125,-0.0029296875,0.58447266
17/07/17 01:28:51:252,589,0.9226074,-0.13842773,-0.31103516,-0.09045913,0.008513801,-0.009578026,-0.12988281,-0.80078125,-0.0034179688,0.5839844
17/07/17 01:28:51:258,595,0.9226074,-0.13842773,-0.31103516,-0.09045913,0.008513801,-0.009578026,-0.12988281,-0.80078125,-0.0034179688,0.5839844
17/07/17 01:28:51:263,600,0.9226074,-0.13842773,-0.31103516,-0.09045913,0.008513801,-0.009578026,-0.12988281,-0.80078125,-0.0034179688,0.5839844
17/07/17 01:28:51:269,606,0.9226074,-0.13842773,-0.31103516,-0.09045913,0.008513801,-0.009578026,-0.12988281,-0.80078125,-0.0034179688,0.5839844
17/07/17 01:28:51:274,611,0.9226074,-0.13842773,-0.31103516,-0.09045913,0.008513801,-0.009578026,-0.12988281,-0.80078125,-0.0034179688,0.5839844
17/07/17 01:28:51:279,616,0.9226074,-0.13842773,-0.31103516,-0.09045913,0.008513801,-0.009578026,-0.12988281,-0.80078125,-0.0034179688,0.5839844
17/07/17 01:28:51:285,622,0.9226074,-0.13842773,-0.31103516,-0.09045913,0.008513801,-0.009578026,-0.12988281,-0.80078125,-0.0034179688,0.5839844
17/07/17 01:28:51:290,627,0.9226074,-0.13842773,-0.31103516,-0.09045913,0.008513801,-0.009578026,-0.12988281,-0.80078125,-0.0034179688,0.5839844
17/07/17 01:28:51:295,632,0.9226074,-0.13842773,-0.31103516,-0.09045913,0.008513801,-0.009578026,-0.12988281,-0.80078125,-0.0034179688,0.5839844
17/07/17 01:28:51:300,637,0.9226074,-0.13842773,-0.31103516,-0.09045913,0.008513801,-0.009578026,-0.12988281,-0.80078125,-0.0034179688,0.5839844
17/07/17 01:28:51:305,642,0.9226074,-0.13842773,-0.31103516,-0.09045913,0.008513801,-0.009578026,-0.12988281,-0.80078125,-0.0034179688,0.5839844
17/07/17 01:28:51:311,648,0.9206543,-0.14648438,-0.31396484,-0.08939491,0.0053211255,-0.009578026,-0.12988281,-0.80078125,-0.0043945313,0.5839844
17/07/17 01:28:51:315,652,0.92211914,-0.1418457,-0.29907227,-0.04789013,0.008513801,-0.009578026,-0.13134766,-0.80078125,-0.0029296875,0.58447266
17/07/17 01:28:51:321,658,0.92163086,-0.14355469,-0.29101563,-0.05214703,0.013834926,-0.0063853506,-0.13134766,-0.80029297,-0.0029296875,0.58447266
17/07/17 01:28:51:326,663,0.92163086,-0.14355469,-0.29101563,-0.05214703,0.013834926,-0.0063853506,-0.13134766,-0.80029297,-0.0029296875,0.58447266
17/07/17 01:28:51:331,668,0.920166,-0.14208984,-0.28222656,-0.05853238,0.014899151,-0.0042569004,-0.13085938,-0.7998047,-0.0029296875,0.58496094
17/07/17 01:28:51:336,673,0.920166,-0.14208984,-0.28222656,-0.05853238,0.014899151,-0.0042569004,-0.13085938,-0.7998047,-0.0029296875,0.58496094
17/07/17 01:28:51:342,679,0.92749023,-0.1430664,-0.26831055,-0.061725058,0.015963376,0.0031926753,-0.13134766,-0.7998047,-0.0034179688,0.5854492
17/07/17 01:28:51:347,684,0.92749023,-0.1430664,-0.26831055,-0.061725058,0.015963376,0.0031926753,-0.13134766,-0.7998047,-0.0034179688,0.5854492
17/07/17 01:28:51:352,689,0.92749023,-0.1430664,-0.26831055,-0.061725058,0.015963376,0.0031926753,-0.13134766,-0.7998047,-0.0034179688,0.5854492
17/07/17 01:28:51:357,694,0.92749023,-0.1430664,-0.26831055,-0.061725058,0.015963376,0.0031926753,-0.13134766,-0.7998047,-0.0034179688,0.5854492
17/07/17 01:28:51:363,700,0.92749023,-0.1430664,-0.26831055,-0.061725058,0.015963376,0.0031926753,-0.13134766,-0.7998047,-0.0034179688,0.5854492
17/07/17 01:28:51:368,705,0.92749023,-0.1430664,-0.26831055,-0.061725058,0.015963376,0.0031926753,-0.13134766,-0.7998047,-0.0034179688,0.5854492
17/07/17 01:28:51:373,710,0.92749023,-0.1430664,-0.26831055,-0.061725058,0.015963376,0.0031926753,-0.13134766,-0.7998047,-0.0034179688,0.5854492
17/07/17 01:28:51:378,715,0.92749023,-0.1430664,-0.26831055,-0.061725058,0.015963376,0.0031926753,-0.13134766,-0.7998047,-0.0034179688,0.5854492
17/07/17 01:28:51:384,721,0.92749023,-0.1430664,-0.26831055,-0.061725058,0.015963376,0.0031926753,-0.13134766,-0.7998047,-0.0034179688,0.5854492
17/07/17 01:28:51:389,726,0.92749023,-0.1430664,-0.26831055,-0.061725058,0.015963376,0.0031926753,-0.13134766,-0.7998047,-0.0034179688,0.5854492
