global time,time(in ms),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,QuatX,QuatY,QuatZ,QuatW
17/07/11 05:05:07:589,6,-0.7631836,0.026855469,0.5734863,-0.034055203,-0.044697456,0.0053211255,0.0146484375,0.4477539,0.0,0.89404297
17/07/11 05:05:07:594,11,-0.7631836,0.026855469,0.5734863,-0.034055203,-0.044697456,0.0053211255,0.0146484375,0.4477539,0.0,0.89404297
17/07/11 05:05:07:599,16,-0.7631836,0.026855469,0.5734863,-0.034055203,-0.044697456,0.0053211255,0.0146484375,0.4477539,0.0,0.89404297
17/07/11 05:05:07:604,21,-0.7631836,0.026855469,0.5734863,-0.034055203,-0.044697456,0.0053211255,0.0146484375,0.4477539,0.0,0.89404297
17/07/11 05:05:07:609,26,-0.76293945,0.022949219,0.5690918,-0.032990977,-0.044697456,0.0053211255,0.0146484375,0.44677734,0.0,0.89404297
17/07/11 05:05:07:617,34,-0.76220703,0.025634766,0.5710449,-0.034055203,-0.044697456,0.0063853506,0.014160156,0.44726563,0.0,0.89404297
17/07/11 05:05:07:623,40,-0.76220703,0.025634766,0.5710449,-0.034055203,-0.044697456,0.0063853506,0.014160156,0.44726563,0.0,0.89404297
17/07/11 05:05:07:629,46,-0.76220703,0.025634766,0.5710449,-0.034055203,-0.044697456,0.0063853506,0.014160156,0.44726563,0.0,0.89404297
17/07/11 05:05:07:635,52,-0.76220703,0.025634766,0.5710449,-0.034055203,-0.044697456,0.0063853506,0.014160156,0.44726563,0.0,0.89404297
17/07/11 05:05:07:640,57,-0.76220703,0.025634766,0.5710449,-0.034055203,-0.044697456,0.0063853506,0.014160156,0.44726563,0.0,0.89404297
17/07/11 05:05:07:645,62,-0.76171875,0.02319336,0.57421875,-0.03511943,-0.04576168,0.0063853506,0.0146484375,0.44726563,0.0,0.89404297
17/07/11 05:05:07:656,73,-0.7648926,0.02368164,0.57177734,-0.034055203,-0.04576168,0.0053211255,0.0146484375,0.44677734,0.0,0.89453125
17/07/11 05:05:07:662,79,-0.7644043,0.024902344,0.57006836,-0.034055203,-0.044697456,0.0053211255,0.0146484375,0.44677734,0.0,0.89453125
17/07/11 05:05:07:668,85,-0.76464844,0.025146484,0.5722656,-0.034055203,-0.04576168,0.0042569004,0.014160156,0.4477539,0.0,0.89404297
17/07/11 05:05:07:692,109,-0.7609863,0.025146484,0.5749512,-0.034055203,-0.044697456,0.0053211255,0.0146484375,0.44726563,0.0,0.89404297
17/07/11 05:05:07:697,114,-0.7609863,0.025146484,0.5749512,-0.034055203,-0.044697456,0.0053211255,0.0146484375,0.44677734,0.0,0.89453125
17/07/11 05:05:07:703,120,-0.76123047,0.028076172,0.5715332,-0.034055203,-0.04576168,0.0074495757,0.0146484375,0.44677734,0.0,0.89453125
17/07/11 05:05:07:709,126,-0.76123047,0.028076172,0.5715332,-0.034055203,-0.04576168,0.0074495757,0.0146484375,0.44628906,0.0,0.89453125
17/07/11 05:05:07:715,132,-0.76538086,0.025878906,0.56884766,-0.034055203,-0.044697456,0.0063853506,0.015136719,0.44628906,4.8828125E-4,0.89453125
17/07/11 05:05:07:723,140,-0.76538086,0.025878906,0.56884766,-0.034055203,-0.044697456,0.0063853506,0.015136719,0.44628906,4.8828125E-4,0.89453125
17/07/11 05:05:07:728,145,-0.76538086,0.025878906,0.56884766,-0.034055203,-0.044697456,0.0063853506,0.014160156,0.44628906,0.0,0.89453125
17/07/11 05:05:07:733,150,-0.75878906,0.023925781,0.5708008,-0.034055203,-0.044697456,0.0053211255,0.0146484375,0.44726563,0.0,0.89404297
17/07/11 05:05:07:738,155,-0.75878906,0.023925781,0.5708008,-0.034055203,-0.044697456,0.0053211255,0.0146484375,0.44726563,0.0,0.89404297
17/07/11 05:05:07:743,160,-0.75878906,0.023925781,0.5708008,-0.034055203,-0.044697456,0.0053211255,0.0146484375,0.44726563,0.0,0.89404297
17/07/11 05:05:07:750,167,-0.75878906,0.023925781,0.5708008,-0.034055203,-0.044697456,0.0053211255,0.0146484375,0.44726563,0.0,0.89404297
17/07/11 05:05:07:755,172,-0.75878906,0.023925781,0.5708008,-0.034055203,-0.044697456,0.0053211255,0.0146484375,0.44726563,0.0,0.89404297
17/07/11 05:05:07:760,177,-0.75878906,0.023925781,0.5708008,-0.034055203,-0.044697456,0.0053211255,0.0146484375,0.44726563,0.0,0.89404297
17/07/11 05:05:07:766,183,-0.7614746,0.024169922,0.5710449,-0.034055203,-0.04363323,0.0053211255,0.014160156,0.44628906,0.0,0.89453125
17/07/11 05:05:07:771,188,-0.7614746,0.024169922,0.5710449,-0.034055203,-0.04363323,0.0053211255,0.014160156,0.44628906,0.0,0.89453125
17/07/11 05:05:07:776,193,-0.76416016,0.021728516,0.5734863,-0.032990977,-0.044697456,0.0053211255,0.013671875,0.44726563,0.0,0.89404297
17/07/11 05:05:07:781,198,-0.76416016,0.021728516,0.5734863,-0.032990977,-0.044697456,0.0053211255,0.013671875,0.44726563,0.0,0.89404297
17/07/11 05:05:07:786,203,-0.7597656,0.025634766,0.5720215,-0.034055203,-0.044697456,0.0053211255,0.013183594,0.44677734,0.0,0.89404297
17/07/11 05:05:07:791,208,-0.7597656,0.025634766,0.5720215,-0.034055203,-0.044697456,0.0053211255,0.013183594,0.44677734,0.0,0.89404297
17/07/11 05:05:07:796,213,-0.76293945,0.024169922,0.5727539,-0.032990977,-0.04576168,0.0074495757,0.013671875,0.44628906,0.0,0.89453125
17/07/11 05:05:07:801,218,-0.76293945,0.024169922,0.5727539,-0.032990977,-0.04576168,0.0074495757,0.013671875,0.44628906,0.0,0.89453125
17/07/11 05:05:07:806,223,-0.7631836,0.025146484,0.5703125,-0.034055203,-0.04576168,0.0042569004,0.014160156,0.44677734,0.0,0.89404297
17/07/11 05:05:07:811,228,-0.7631836,0.025146484,0.5703125,-0.034055203,-0.04576168,0.0042569004,0.014160156,0.44677734,0.0,0.89404297
17/07/11 05:05:07:817,234,-0.76293945,0.026123047,0.5732422,-0.034055203,-0.04576168,0.0053211255,0.014160156,0.44726563,0.0,0.89404297
17/07/11 05:05:07:822,239,-0.7644043,0.025146484,0.56884766,-0.03511943,-0.044697456,0.0053211255,0.0146484375,0.44677734,0.0,0.89404297
17/07/11 05:05:07:827,244,-0.7644043,0.025146484,0.56884766,-0.03511943,-0.044697456,0.0053211255,0.0146484375,0.44677734,0.0,0.89404297
17/07/11 05:05:07:832,249,-0.76000977,0.024658203,0.5739746,-0.03511943,-0.04576168,0.0053211255,0.0146484375,0.44726563,0.0,0.89404297
17/07/11 05:05:07:837,254,-0.76000977,0.024658203,0.5739746,-0.03511943,-0.04576168,0.0053211255,0.0146484375,0.44726563,0.0,0.89404297
17/07/11 05:05:07:842,259,-0.76000977,0.024658203,0.5739746,-0.03511943,-0.04576168,0.0053211255,0.0146484375,0.44726563,0.0,0.89404297
17/07/11 05:05:07:847,264,-0.7578125,0.025146484,0.57373047,-0.034055203,-0.04363323,0.0063853506,0.0146484375,0.44677734,0.0,0.89404297
