global time,time(in ms),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,QuatX,QuatY,QuatZ,QuatW
17/07/11 05:04:34:437,204,-0.765625,0.024169922,0.5727539,-0.032990977,-0.04576168,0.0053211255,0.0146484375,0.44726563,0.0014648438,0.89404297
17/07/11 05:04:34:442,209,-0.765625,0.024169922,0.5727539,-0.032990977,-0.04576168,0.0053211255,0.0146484375,0.44726563,0.0014648438,0.89404297
17/07/11 05:04:34:448,215,-0.7636719,0.026855469,0.5695801,-0.030862529,-0.04576168,0.0053211255,0.014160156,0.44726563,9.765625E-4,0.89404297
17/07/11 05:04:34:453,220,-0.7636719,0.026855469,0.5695801,-0.030862529,-0.04576168,0.0053211255,0.014160156,0.44726563,9.765625E-4,0.89404297
17/07/11 05:04:34:459,226,-0.7636719,0.026855469,0.5695801,-0.030862529,-0.04576168,0.0053211255,0.014160156,0.44726563,9.765625E-4,0.89404297
17/07/11 05:04:34:464,231,-0.7636719,0.026855469,0.5695801,-0.030862529,-0.04576168,0.0053211255,0.014160156,0.44726563,9.765625E-4,0.89404297
17/07/11 05:04:34:469,236,-0.7636719,0.026855469,0.5695801,-0.030862529,-0.04576168,0.0053211255,0.014160156,0.44726563,9.765625E-4,0.89404297
17/07/11 05:04:34:474,241,-0.7636719,0.026855469,0.5695801,-0.030862529,-0.04576168,0.0053211255,0.014160156,0.44726563,9.765625E-4,0.89404297
17/07/11 05:04:34:479,246,-0.7636719,0.026855469,0.5695801,-0.030862529,-0.04576168,0.0053211255,0.014160156,0.44726563,9.765625E-4,0.89404297
17/07/11 05:04:34:484,251,-0.76538086,0.025878906,0.57006836,-0.03192675,-0.044697456,0.0053211255,0.0146484375,0.4477539,9.765625E-4,0.89404297
17/07/11 05:04:34:491,258,-0.7648926,0.024414063,0.5703125,-0.032990977,-0.044697456,0.0053211255,0.014160156,0.44726563,9.765625E-4,0.89404297
17/07/11 05:04:34:497,264,-0.7709961,0.024902344,0.57006836,-0.034055203,-0.044697456,0.0063853506,0.013671875,0.4477539,4.8828125E-4,0.89404297
17/07/11 05:04:34:503,270,-0.7709961,0.024902344,0.57006836,-0.034055203,-0.044697456,0.0063853506,0.013671875,0.4477539,4.8828125E-4,0.89404297
17/07/11 05:04:34:508,275,-0.7709961,0.024902344,0.57006836,-0.034055203,-0.044697456,0.0063853506,0.013671875,0.4477539,4.8828125E-4,0.89404297
17/07/11 05:04:34:514,281,-0.7709961,0.024902344,0.57006836,-0.034055203,-0.044697456,0.0063853506,0.013671875,0.4477539,4.8828125E-4,0.89404297
17/07/11 05:04:34:520,287,-0.7709961,0.024902344,0.57006836,-0.034055203,-0.044697456,0.0063853506,0.013671875,0.4477539,4.8828125E-4,0.89404297
17/07/11 05:04:34:525,292,-0.7614746,0.025390625,0.57250977,-0.032990977,-0.044697456,0.0063853506,0.013671875,0.4482422,4.8828125E-4,0.8935547
17/07/11 05:04:34:532,299,-0.7614746,0.025390625,0.57250977,-0.032990977,-0.044697456,0.0063853506,0.013671875,0.4482422,4.8828125E-4,0.8935547
17/07/11 05:04:34:538,305,-0.76586914,0.022705078,0.56933594,-0.032990977,-0.044697456,0.0042569004,0.014160156,0.4477539,9.765625E-4,0.89404297
17/07/11 05:04:34:543,310,-0.765625,0.024658203,0.5732422,-0.03192675,-0.044697456,0.0031926753,0.014160156,0.4477539,9.765625E-4,0.89404297
17/07/11 05:04:34:548,315,-0.765625,0.024658203,0.5732422,-0.03192675,-0.044697456,0.0031926753,0.013671875,0.4482422,4.8828125E-4,0.8935547
17/07/11 05:04:34:555,322,-0.76342773,0.026855469,0.57177734,-0.03192675,-0.044697456,0.0042569004,0.013671875,0.44726563,4.8828125E-4,0.89404297
17/07/11 05:04:34:560,327,-0.76342773,0.026855469,0.57177734,-0.03192675,-0.044697456,0.0042569004,0.013671875,0.44726563,4.8828125E-4,0.89404297
17/07/11 05:04:34:566,333,-0.7590332,0.023925781,0.5703125,-0.03192675,-0.044697456,0.0042569004,0.013671875,0.44726563,4.8828125E-4,0.89404297
17/07/11 05:04:34:571,338,-0.7590332,0.023925781,0.5703125,-0.03192675,-0.044697456,0.0042569004,0.014160156,0.44726563,9.765625E-4,0.89404297
17/07/11 05:04:34:576,343,-0.7590332,0.023925781,0.5703125,-0.03192675,-0.044697456,0.0042569004,0.014160156,0.44726563,9.765625E-4,0.89404297
17/07/11 05:04:34:582,349,-0.7590332,0.023925781,0.5703125,-0.03192675,-0.044697456,0.0042569004,0.014160156,0.44726563,9.765625E-4,0.89404297
17/07/11 05:04:34:586,353,-0.7590332,0.023925781,0.5703125,-0.03192675,-0.044697456,0.0042569004,0.014160156,0.44726563,9.765625E-4,0.89404297
17/07/11 05:04:34:591,358,-0.7590332,0.023925781,0.5703125,-0.03192675,-0.044697456,0.0042569004,0.014160156,0.44726563,9.765625E-4,0.89404297
17/07/11 05:04:34:596,363,-0.7590332,0.023925781,0.5703125,-0.03192675,-0.044697456,0.0042569004,0.014160156,0.44726563,9.765625E-4,0.89404297
17/07/11 05:04:34:602,369,-0.7590332,0.023925781,0.5703125,-0.03192675,-0.044697456,0.0042569004,0.014160156,0.44726563,9.765625E-4,0.89404297
17/07/11 05:04:34:607,374,-0.7590332,0.023925781,0.5703125,-0.03192675,-0.044697456,0.0042569004,0.014160156,0.44726563,9.765625E-4,0.89404297
17/07/11 05:04:34:612,379,-0.7590332,0.023925781,0.5703125,-0.03192675,-0.044697456,0.0042569004,0.014160156,0.44726563,9.765625E-4,0.89404297
17/07/11 05:04:34:617,384,-0.7590332,0.023925781,0.5703125,-0.03192675,-0.044697456,0.0042569004,0.014160156,0.44726563,9.765625E-4,0.89404297
17/07/11 05:04:34:622,389,-0.7590332,0.023925781,0.5703125,-0.03192675,-0.044697456,0.0042569004,0.014160156,0.44726563,9.765625E-4,0.89404297
17/07/11 05:04:34:627,394,-0.76000977,0.025146484,0.5720215,-0.032990977,-0.044697456,0.0042569004,0.014160156,0.4477539,9.765625E-4,0.8935547
17/07/11 05:04:34:632,399,-0.76000977,0.025146484,0.5720215,-0.032990977,-0.044697456,0.0042569004,0.014160156,0.4477539,9.765625E-4,0.8935547
17/07/11 05:04:34:637,404,-0.76000977,0.025146484,0.5720215,-0.032990977,-0.044697456,0.0042569004,0.014160156,0.4477539,9.765625E-4,0.8935547
17/07/11 05:04:34:642,409,-0.76000977,0.025146484,0.5720215,-0.032990977,-0.044697456,0.0042569004,0.014160156,0.4477539,9.765625E-4,0.8935547
17/07/11 05:04:34:647,414,-0.76000977,0.025146484,0.5720215,-0.032990977,-0.044697456,0.0042569004,0.014160156,0.4477539,9.765625E-4,0.8935547
17/07/11 05:04:34:652,419,-0.76000977,0.025146484,0.5720215,-0.032990977,-0.044697456,0.0042569004,0.014160156,0.4477539,9.765625E-4,0.8935547
17/07/11 05:04:34:657,424,-0.76000977,0.025146484,0.5720215,-0.032990977,-0.044697456,0.0042569004,0.014160156,0.4477539,9.765625E-4,0.8935547
17/07/11 05:04:34:663,430,-0.76000977,0.025146484,0.5720215,-0.032990977,-0.044697456,0.0042569004,0.014160156,0.4477539,9.765625E-4,0.8935547
17/07/11 05:04:34:668,435,-0.76000977,0.025146484,0.5720215,-0.032990977,-0.044697456,0.0042569004,0.014160156,0.4477539,9.765625E-4,0.8935547
17/07/11 05:04:34:673,440,-0.76000977,0.025146484,0.5720215,-0.032990977,-0.044697456,0.0042569004,0.014160156,0.4477539,9.765625E-4,0.8935547
17/07/11 05:04:34:678,445,-0.76000977,0.025146484,0.5720215,-0.032990977,-0.044697456,0.0042569004,0.014160156,0.4477539,9.765625E-4,0.8935547
